Year,subyear,area,stock,Ino,type,index,CV,Name
2005,2,1,2,5,2,0.24712,0.28979,GOM_LAR_SUV
2006,2,1,2,5,2,0.69525,0.3543,GOM_LAR_SUV
2007,2,1,2,5,2,0.62532,0.37666,GOM_LAR_SUV
2008,2,1,2,5,2,0.44971,0.37681,GOM_LAR_SUV
2009,2,1,2,5,2,0.80732,0.31863,GOM_LAR_SUV
2010,2,1,2,5,2,0.47176,0.5102,GOM_LAR_SUV
2011,2,1,2,5,2,1.4135,0.39143,GOM_LAR_SUV
2012,2,1,2,5,2,0.38575,0.46786,GOM_LAR_SUV
2013,2,1,2,5,2,1.34505,0.34421,GOM_LAR_SUV
2014,2,1,2,5,2,0.35856,0.36881,GOM_LAR_SUV
2015,2,1,2,5,2,0.53549,0.30377,GOM_LAR_SUV
2016,2,1,2,5,2,3.35959,0.26242,GOM_LAR_SUV
2017,2,1,2,5,2,1.30482,0.29864,GOM_LAR_SUV
2010,2,7,1,6,2,3587,0.565,GBYP_AER_SUV
2011,2,7,1,6,2,4371,0.462,GBYP_AER_SUV
2013,2,7,1,6,2,3539,0.406,GBYP_AER_SUV
2015,2,7,1,6,2,4712,0.42,GBYP_AER_SUV
2017,2,7,1,6,2,12693,0.409,GBYP_AER_SUV
2018,2,7,1,6,2,37861,0.403,GBYP_AER_SUV
