Year,subyear,area,stock,Ino,type,index,CV,Name
2012,3,3,2,4,2,0.1,0.065,CAN_ACO_SUV
2013,3,3,2,4,2,0.056,0.057,CAN_ACO_SUV
2014,3,3,2,4,2,0.076,0.063,CAN_ACO_SUV
2015,3,3,2,4,2,0.075,0.098,CAN_ACO_SUV
2016,3,3,2,4,2,0.088,0.01,CAN_ACO_SUV
2017,3,3,2,4,2,0.053,0.007,CAN_ACO_SUV
2018,3,3,2,4,2,0.007,0.013,CAN_ACO_SUV
1977,2,1,2,5,2,2.49115,0.44559,GOM_LAR_SUV
1978,2,1,2,5,2,4.55118,0.23791,GOM_LAR_SUV
1981,2,1,2,5,2,0.7754,0.43887,GOM_LAR_SUV
1982,2,1,2,5,2,1.31106,0.28663,GOM_LAR_SUV
1983,2,1,2,5,2,1.11668,0.34724,GOM_LAR_SUV
1984,2,1,2,5,2,0.37788,0.53255,GOM_LAR_SUV
1986,2,1,2,5,2,0.37798,0.42774,GOM_LAR_SUV
1987,2,1,2,5,2,0.31214,0.48065,GOM_LAR_SUV
1988,2,1,2,5,2,1.13011,0.32262,GOM_LAR_SUV
1989,2,1,2,5,2,0.77894,0.37101,GOM_LAR_SUV
1990,2,1,2,5,2,0.30119,0.3392,GOM_LAR_SUV
1991,2,1,2,5,2,0.37077,0.55744,GOM_LAR_SUV
1992,2,1,2,5,2,0.44549,0.35098,GOM_LAR_SUV
1993,2,1,2,5,2,0.41565,0.644,GOM_LAR_SUV
1994,2,1,2,5,2,0.59684,0.33486,GOM_LAR_SUV
1995,2,1,2,5,2,0.26753,0.54555,GOM_LAR_SUV
1996,2,1,2,5,2,0.79349,0.49209,GOM_LAR_SUV
1997,2,1,2,5,2,0.32961,0.3864,GOM_LAR_SUV
1998,2,1,2,5,2,0.11823,0.52807,GOM_LAR_SUV
1999,2,1,2,5,2,0.44357,0.48417,GOM_LAR_SUV
2000,2,1,2,5,2,0.29208,0.5308,GOM_LAR_SUV
2001,2,1,2,5,2,0.39876,0.32371,GOM_LAR_SUV
2002,2,1,2,5,2,0.25504,0.6482,GOM_LAR_SUV
2003,2,1,2,5,2,0.66736,0.38154,GOM_LAR_SUV
2004,2,1,2,5,2,0.49053,0.66862,GOM_LAR_SUV
2005,2,1,2,5,2,0.18077,0.29598,GOM_LAR_SUV
2006,2,1,2,5,2,0.55069,0.36557,GOM_LAR_SUV
2007,2,1,2,5,2,0.41997,0.37195,GOM_LAR_SUV
2008,2,1,2,5,2,0.33167,0.38186,GOM_LAR_SUV
2009,2,1,2,5,2,0.54871,0.31867,GOM_LAR_SUV
2010,2,1,2,5,2,0.30689,0.52165,GOM_LAR_SUV
2011,2,1,2,5,2,1.05525,0.39882,GOM_LAR_SUV
2012,2,1,2,5,2,0.29433,0.47928,GOM_LAR_SUV
2013,2,1,2,5,2,1.05257,0.35203,GOM_LAR_SUV
2014,2,1,2,5,2,0.25023,0.37243,GOM_LAR_SUV
2015,2,1,2,5,2,0.39005,0.30209,GOM_LAR_SUV
2016,2,1,2,5,2,2.2658,0.25998,GOM_LAR_SUV
2017,2,1,2,5,2,0.98883,0.2852,GOM_LAR_SUV
2018,2,1,2,5,2,2.05383,0.23652,GOM_LAR_SUV
2010,2,7,1,6,2,3587,0.565,GBYP_AER_SUV_BAR
2011,2,7,1,6,2,4371,0.462,GBYP_AER_SUV_BAR
2013,2,7,1,6,2,3539,0.406,GBYP_AER_SUV_BAR
2015,2,7,1,6,2,4712,0.42,GBYP_AER_SUV_BAR
2017,2,7,1,6,2,12693,0.409,GBYP_AER_SUV_BAR
2018,2,7,1,6,2,37861,0.403,GBYP_AER_SUV_BAR
