Year,subyear,area,stock,Ino,type,index,CV,Name
1995,2,1,2,5,2,0.31243411,0.5302,GOM_LAR_SUV
1996,2,1,2,5,2,1.026047715,0.4921,GOM_LAR_SUV
1997,2,1,2,5,2,0.440831689,0.3896,GOM_LAR_SUV
1998,2,1,2,5,2,0.158231135,0.5341,GOM_LAR_SUV
1999,2,1,2,5,2,0.634057458,0.5,GOM_LAR_SUV
2000,2,1,2,5,2,0.301986071,0.5061,GOM_LAR_SUV
2001,2,1,2,5,2,0.543801512,0.3214,GOM_LAR_SUV
2002,2,1,2,5,2,0.339372425,0.6392,GOM_LAR_SUV
2003,2,1,2,5,2,0.92937189,0.377,GOM_LAR_SUV
2004,2,1,2,5,2,0.688059969,0.6654,GOM_LAR_SUV
2005,2,1,2,5,2,0.233381482,0.2927,GOM_LAR_SUV
2006,2,1,2,5,2,0.702662047,0.3627,GOM_LAR_SUV
2007,2,1,2,5,2,0.579929067,0.3683,GOM_LAR_SUV
2008,2,1,2,5,2,0.425977851,0.3697,GOM_LAR_SUV
2009,2,1,2,5,2,0.764091477,0.3152,GOM_LAR_SUV
2010,2,1,2,5,2,0.401683015,0.5145,GOM_LAR_SUV
2011,2,1,2,5,2,1.352832142,0.39,GOM_LAR_SUV
2012,2,1,2,5,2,0.361653182,0.4654,GOM_LAR_SUV
2013,2,1,2,5,2,1.226826282,0.3418,GOM_LAR_SUV
2014,2,1,2,5,2,0.343652345,0.3692,GOM_LAR_SUV
2015,2,1,2,5,2,0.505785759,0.3012,GOM_LAR_SUV
2016,2,1,2,5,2,3.036728631,0.2573,GOM_LAR_SUV
2017,2,1,2,5,2,1.24256128,0.289,GOM_LAR_SUV
2018,2,1,2,5,2,2.528173513,0.2415,GOM_LAR_SUV
2019,2,1,2,5,2,1.916270931,0.2761,GOM_LAR_SUV
2020,2,1,2,5,2,NA,NA,GOM_LAR_SUV
2021,2,1,2,5,2,2.162869812,0.3102,GOM_LAR_SUV
2010,2,7,1,6,2,1659,0.55,GBYP_AER_SUV_BAR
2011,2,7,1,6,2,1392,0.43,GBYP_AER_SUV_BAR
2012,2,7,1,6,2,NA,NA,GBYP_AER_SUV_BAR
2013,2,7,1,6,2,2393,0.42,GBYP_AER_SUV_BAR
2014,2,7,1,6,2,NA,NA,GBYP_AER_SUV_BAR
2015,2,7,1,6,2,4766,0.47,GBYP_AER_SUV_BAR
2016,2,7,1,6,2,NA,NA,GBYP_AER_SUV_BAR
2017,2,7,1,6,2,8001,0.45,GBYP_AER_SUV_BAR
2018,2,7,1,6,2,13344,0.31,GBYP_AER_SUV_BAR
2019,2,7,1,6,2,11548,0.38,GBYP_AER_SUV_BAR
2018,3,3,2,7,2,0.007,0.013,CAN_ACO_SUV2
2019,3,3,2,7,2,0.015,0.01,CAN_ACO_SUV2
