Year,Quarter,Area,qNo,Fleet,Index,lt,CV,Name,,,,,,
1992,3,3,18,14,0.061,0,0.261,CAN GSL,,,,,,
1993,3,3,18,14,0.095,0,0.202,CAN GSL,,,,,,
1994,3,3,18,14,0.042,0,0.216,CAN GSL,,,,,,
1995,3,3,18,14,0.119,0,0.18,CAN GSL,,,,,,
1996,3,3,18,14,0.016,0,0.185,CAN GSL,,,,,,
1997,3,3,18,14,0.019,0,0.186,CAN GSL,,,,,,
1998,3,3,18,14,0.031,0,0.184,CAN GSL,,,,,,
1999,3,3,18,14,0.047,0,0.18,CAN GSL,,,,,,
2000,3,3,18,14,0.044,0,0.167,CAN GSL,,,,,,
2001,3,3,18,14,0.037,0,0.175,CAN GSL,,,,,,
2002,3,3,18,14,0.067,0,0.16,CAN GSL,,,,,,
2003,3,3,18,14,0.078,0,0.155,CAN GSL,,,,,,
2004,3,3,18,14,0.145,0,0.145,CAN GSL,,,,,,
2005,3,3,18,14,0.118,0,0.145,CAN GSL,,,,,,
2006,3,3,18,14,0.113,0,0.142,CAN GSL,,,,,,
2007,3,3,18,14,0.184,0,0.147,CAN GSL,,,,,,
2008,3,3,18,14,0.148,0,0.142,CAN GSL,,,,,,
2009,3,3,18,14,0.224,0,0.144,CAN GSL,,,,,,
2010,3,3,18,14,0.265,0,0.166,CAN GSL,,,,,,
2011,3,3,18,14,0.189,0,0.15,CAN GSL,,,,,,
2012,3,3,18,14,0.249,0,0.146,CAN GSL,,,,,,
2013,3,3,18,14,0.241,0,0.145,CAN GSL,,,,,,
2014,3,3,18,14,0.242,0,0.146,CAN GSL,,,,,,
2015,3,3,18,14,0.198,0,0.143,CAN GSL,,,,,,
2016,3,3,18,14,0.246,0,0.146,CAN GSL,,,,,,
2017,3,3,18,14,0.224,0,0.147,CAN GSL,,,,,,
2018,3,3,18,14,0.228,0,0.15,CAN GSL,,,,,,
2019,3,3,18,14,0.237,0,0.151,CAN GSL,,,,,,
2020,3,3,18,14,0.221,0,0.213,CAN GSL,,,,,,
1996,3,2,19,14,1.005,0,0.339,CAN SWNS,,,,,,
1997,3,2,19,14,0.751,0,0.337,CAN SWNS,,,,,,
1998,3,2,19,14,0.974,0,0.341,CAN SWNS,,,,,,
1999,3,2,19,14,1.198,0,0.362,CAN SWNS,,,,,,
2000,3,2,19,14,0.652,0,0.364,CAN SWNS,,,,,,
2001,3,2,19,14,0.814,0,0.331,CAN SWNS,,,,,,
2002,3,2,19,14,0.783,0,0.294,CAN SWNS,,,,,,
2003,3,2,19,14,0.847,0,0.31,CAN SWNS,,,,,,
2004,3,2,19,14,1.198,0,0.289,CAN SWNS,,,,,,
2005,3,2,19,14,1.208,0,0.298,CAN SWNS,,,,,,
2006,3,2,19,14,1.436,0,0.292,CAN SWNS,,,,,,
2007,3,2,19,14,1.286,0,0.289,CAN SWNS,,,,,,
2008,3,2,19,14,1.362,0,0.288,CAN SWNS,,,,,,
2009,3,2,19,14,2.3,0,0.289,CAN SWNS,,,,,,
2010,3,2,19,14,2.136,0,0.29,CAN SWNS,,,,,,
2011,3,2,19,14,1.786,0,0.292,CAN SWNS,,,,,,
2012,3,2,19,14,1.74,0,0.294,CAN SWNS,,,,,,
2013,3,2,19,14,1.309,0,0.295,CAN SWNS,,,,,,
2014,3,2,19,14,1.484,0,0.312,CAN SWNS,,,,,,
2015,3,2,19,14,1.484,0,0.297,CAN SWNS,,,,,,
2016,3,2,19,14,1.909,0,0.317,CAN SWNS,,,,,,
2017,3,2,19,14,1.939,0,0.305,CAN SWNS,,,,,,
2018,3,2,19,14,1.658,0,0.299,CAN SWNS,,,,,,
2019,3,2,19,14,1.944,0,0.302,CAN SWNS,,,,,,
2020,3,2,19,14,2.281,0,0.328,CAN SWNS,,,,,,
1995,3,2,20,15,1.241284761,,0.124627456,US_RR_66_144,,,,,,
1996,3,2,20,15,1.325398225,,0.124841621,US_RR_66_144,,,,,,
1997,3,2,20,15,1.9744543,,0.101434021,US_RR_66_144,,,,,,
1998,3,2,20,15,0.948157792,,0.102731118,US_RR_66_144,,,,,,
1999,3,2,20,15,0.890767114,,0.174585355,US_RR_66_144,,,,,,
2000,3,2,20,15,1.135323677,,0.181803137,US_RR_66_144,,,,,,
2001,3,2,20,15,0.757985987,,0.114332829,US_RR_66_144,,,,,,
2002,3,2,20,15,1.068508267,,0.150492346,US_RR_66_144,,,,,,
2003,3,2,20,15,0.65694962,,0.088833737,US_RR_66_144,,,,,,
2004,3,2,20,15,1.609173192,,0.092195565,US_RR_66_144,,,,,,
2005,3,2,20,15,1.567491815,,0.106135311,US_RR_66_144,,,,,,
2006,3,2,20,15,0.718981625,,0.162897382,US_RR_66_144,,,,,,
2007,3,2,20,15,0.701215208,,0.088244477,US_RR_66_144,,,,,,
2008,3,2,20,15,0.680658915,,0.097232982,US_RR_66_144,,,,,,
2009,3,2,20,15,0.554386708,,0.121802218,US_RR_66_144,,,,,,
2010,3,2,20,15,0.869435389,,0.104573816,US_RR_66_144,,,,,,
2011,3,2,20,15,0.771154956,,0.116721489,US_RR_66_144,,,,,,
2012,3,2,20,15,0.851827536,,0.131425833,US_RR_66_144,,,,,,
2013,3,2,20,15,1.310560577,,0.12598483,US_RR_66_144,,,,,,
2014,3,2,20,15,0.80497411,,0.151678349,US_RR_66_144,,,,,,
2015,3,2,20,15,0.3909678,,0.142988877,US_RR_66_144,,,,,,
2016,3,2,20,15,0.575984342,,0.146786621,US_RR_66_144,,,,,,
2017,3,2,20,15,0.945868935,,0.144928598,US_RR_66_144,,,,,,
2018,3,2,20,15,0.687861247,,0.160712755,US_RR_66_144,,,,,,
2019,3,2,20,15,1.256330458,,0.130813271,US_RR_66_144,,,,,,
2020,3,2,20,15,1.704297439,,0.149582519,US_RR_66_144,,,,,,
1994,2,1,21,1,0.89,0,0.3,MEXUS_GOM_PLL,,,,,,
1995,2,1,21,1,0.43,0,0.28,MEXUS_GOM_PLL,,,,,,
1996,2,1,21,1,0.78,0,0.19,MEXUS_GOM_PLL,,,,,,
1997,2,1,21,1,0.22,0,0.53,MEXUS_GOM_PLL,,,,,,
1998,2,1,21,1,0.76,0,0.28,MEXUS_GOM_PLL,,,,,,
1999,2,1,21,1,0.44,0,0.25,MEXUS_GOM_PLL,,,,,,
2000,2,1,21,1,2.31,0,0.15,MEXUS_GOM_PLL,,,,,,
2001,2,1,21,1,0.95,0,0.18,MEXUS_GOM_PLL,,,,,,
2002,2,1,21,1,1.41,0,0.17,MEXUS_GOM_PLL,,,,,,
2003,2,1,21,1,1.16,0,0.15,MEXUS_GOM_PLL,,,,,,
2004,2,1,21,1,0.58,0,0.17,MEXUS_GOM_PLL,,,,,,
2005,2,1,21,1,0.55,0,0.16,MEXUS_GOM_PLL,,,,,,
2006,2,1,21,1,0.79,0,0.16,MEXUS_GOM_PLL,,,,,,
2007,2,1,21,1,0.5,0,0.15,MEXUS_GOM_PLL,,,,,,
2008,2,1,21,1,0.83,0,0.14,MEXUS_GOM_PLL,,,,,,
2009,2,1,21,1,0.7,0,0.14,MEXUS_GOM_PLL,,,,,,
2010,2,1,21,1,0.51,0,0.15,MEXUS_GOM_PLL,,,,,,
2011,2,1,21,1,0.94,0,0.16,MEXUS_GOM_PLL,,,,,,
2012,2,1,21,1,1.5,0,0.13,MEXUS_GOM_PLL,,,,,,
2013,2,1,21,1,0.73,0,0.14,MEXUS_GOM_PLL,,,,,,
2014,2,1,21,1,1.28,0,0.14,MEXUS_GOM_PLL,,,,,,
2015,2,1,21,1,1.88,0,0.13,MEXUS_GOM_PLL,,,,,,
2016,2,1,21,1,1.58,0,0.13,MEXUS_GOM_PLL,,,,,,
2017,2,1,21,1,1.17,0,0.15,MEXUS_GOM_PLL,,,,,,
2018,2,1,21,1,1.47,0,0.14,MEXUS_GOM_PLL,,,,,,
2019,2,1,21,1,1.62,0,0.14,MEXUS_GOM_PLL,,,,,,
