ID1;Source;ID;Year;Length;Type_length;Weight;Type_of_weight;age;Prob.East.;GEAR;BFT_Area;Month;quarter;Method
126;US+Can;09BFT3-3;2009;231;SFL;216.793.510.737.539;EST_L;9;0.174;LL;GOM;5;2;Otolith Chemistry
129;US+Can;09BFT32-3;2009;245;SFL;258.629.893.207.386;EST_L;15;0.076;LL;GOM;5;2;Otolith Chemistry
130;US+Can;09BFT33-2;2009;242;SFL;249.248.653.034.504;EST_L;9;0.032;LL;GOM;5;2;Otolith Chemistry
134;US+Can;09BFT37-3;2009;266;SFL;33.096.618.797.784;EST_L;16;0.052;LL;GOM;5;2;Otolith Chemistry
136;US+Can;09BFT39-2;2009;257;SFL;298.507.716.271.779;EST_L;13;0.072;LL;GOM;5;2;Otolith Chemistry
137;US+Can;09BFT4-4;2009;262;SFL;316.264.381.962.681;EST_L;8;0.032;LL;GOM;5;2;Otolith Chemistry
139;US+Can;09BFT41-1;2009;229;SFL;211.213.269.932.526;EST_L;11;0.044;LL;GOM;5;2;Otolith Chemistry
140;US+Can;09BFT42-2;2009;261;SFL;31.265.823.605.727;EST_L;16;0.086;LL;GOM;5;2;Otolith Chemistry
141;US+Can;09BFT43-1;2009;262;SFL;348.351.802.871.286;EST_L;14;0.026;LL;GOM;4;2;Otolith Chemistry
143;US+Can;09BFT44-3;2009;248;SFL;295.177.478.166.541;EST_L;11;0.05;LL;GOM;4;2;Otolith Chemistry
144;US+Can;09BFT45-2;2009;261;SFL;344.356.932.346.102;EST_L;11;0.046;LL;GOM;4;2;Otolith Chemistry
145;US+Can;09BFT46-1;2009;257;SFL;328.683.662.238.282;EST_L;14;0.002;LL;GOM;4;2;Otolith Chemistry
146;US+Can;09BFT47-1;2009;230;SFL;235.170.064.625.372;EST_L;12;0.004;LL;GOM;4;2;Otolith Chemistry
147;US+Can;09BFT47-2;2009;245;SFL;28.453.839.648.981;EST_L;16;0.158;LL;GOM;4;2;Otolith Chemistry
149;US+Can;09BFT49-3;2009;238;SFL;237.096.997.636.049;EST_L;14;0.156;LL;GOM;5;2;Otolith Chemistry
151;US+Can;09BFT50-5;2009;222;SFL;192.437.380.619.669;EST_L;11;0.004;LL;GOM;5;2;Otolith Chemistry
152;US+Can;09BFT50-6;2009;244;SFL;255.477.126.501.014;EST_L;13;0.07;LL;GOM;5;2;Otolith Chemistry
153;US+Can;09BFT51-2;2009;242;SFL;274.158.756.506.995;EST_L;12;0.066;LL;GOM;4;2;Otolith Chemistry
158;US+Can;09BFT54-2;2009;269;SFL;342.286.573.949.959;EST_L;15;0.042;LL;GOM;5;2;Otolith Chemistry
159;US+Can;09BFT55-2;2009;270;SFL;381.431.803.214.436;EST_L;14;0;LL;GOM;4;2;Otolith Chemistry
160;US+Can;09BFT56-1;2009;249;SFL;271.500.283.363.202;EST_L;12;0.03;LL;GOM;5;2;Otolith Chemistry
161;US+Can;09BFT57-1;2009;255;SFL;321.029.078.990.703;EST_L;14;0.07;LL;GOM;4;2;Otolith Chemistry
163;US+Can;09BFT59-2;2009;260;SFL;291.959.978.159.918;EST_L;10;0.044;LL;GOM;6;2;Otolith Chemistry
164;US+Can;09BFT6-2;2009;205;SFL;151.541.834.747.327;EST_L;16;0.044;LL;GOM;5;2;Otolith Chemistry
166;US+Can;09BFT61-1;2009;241;SFL;232.718.358.215.674;EST_L;16;0.09;LL;GOM;6;2;Otolith Chemistry
168;US+Can;09BFT64-1;2009;238;SFL;237.096.997.636.049;EST_L;12;0.006;LL;GOM;5;2;Otolith Chemistry
169;US+Can;09BFT64-2;2009;262;SFL;316.264.381.962.681;EST_L;19;0.042;LL;GOM;5;2;Otolith Chemistry
170;US+Can;09BFT64-3;2009;248.020.546;EST_L;26.831.022.562.532;EST_L;16;0.286;LL;GOM;5;2;Otolith Chemistry
171;US+Can;09BFT64-4;2009;249.941.746;EST_L;274.591.271.081.305;EST_L;18;0.026;LL;GOM;5;2;Otolith Chemistry
172;US+Can;09BFT65-9;2009;256;SFL;29.503.807.585.231;EST_L;17;0.044;LL;GOM;5;2;Otolith Chemistry
174;US+Can;09BFT66-8;2009;249;SFL;271.500.283.363.202;EST_L;12;0.022;LL;GOM;5;2;Otolith Chemistry
175;US+Can;09BFT67-5;2009;221;SFL;18.984.957.378.498;EST_L;12;0.06;LL;GOM;5;2;Otolith Chemistry
176;US+Can;09BFT67-6;2009;238;SFL;237.096.997.636.049;EST_L;16;0.018;LL;GOM;5;2;Otolith Chemistry
178;US+Can;09BFT69-1;2009;288;SFL;396.345.234.672.812;EST_L;19;0;LL;GOM;6;2;Otolith Chemistry
179;US+Can;09BFT7-1;2009;285;SFL;407.041.108.798.784;EST_L;15;0.29;LL;GOM;5;2;Otolith Chemistry
182;US+Can;09BFT72-1;2009;259;SFL;288.616.846.327.173;EST_L;14;0.192;LL;GOM;6;2;Otolith Chemistry
189;US+Can;09BFT77-3;2009;285;SFL;407.041.108.798.784;EST_L;22;0.056;LL;GOM;5;2;Otolith Chemistry
190;US+Can;09BFT78-1;2009;242;SFL;249.248.653.034.504;EST_L;13;0.372;LL;GOM;5;2;Otolith Chemistry
191;US+Can;09BFT79-2;2009;254;SFL;272.282.785.716.058;EST_L;16;0.022;LL;GOM;6;2;Otolith Chemistry
193;US+Can;09BFT80-1;2009;256;SFL;29.503.807.585.231;EST_L;13;0.01;LL;GOM;5;2;Otolith Chemistry
194;US+Can;09BFT81-1;2009;264;SFL;323.559.629.922.711;EST_L;16;0.004;LL;GOM;5;2;Otolith Chemistry
195;US+Can;09BFT82-2;2009;239;SFL;240.097.013.282.393;EST_L;16;0.158;LL;GOM;5;2;Otolith Chemistry
196;US+Can;09BFT83-3;2009;260;SFL;309.079.601.821.426;EST_L;19;0.048;LL;GOM;5;2;Otolith Chemistry
197;US+Can;09BFT83-4;2009;205;SFL;151.541.834.747.327;EST_L;13;0.08;LL;GOM;5;2;Otolith Chemistry
198;US+Can;09BFT84-1;2009;275;SFL;34.524.171.649.771;EST_L;18;0.002;LL;GOM;6;2;Otolith Chemistry
199;US+Can;09BFT84-2;2009;285;SFL;384.133.934.588.967;EST_L;19;0.01;LL;GOM;6;2;Otolith Chemistry
200;US+Can;09BFT85-1;2009;244.178.146;EST_L;256.036.893.291.121;EST_L;20;0.074;LL;GOM;5;2;Otolith Chemistry
203;US+Can;09BFT87-4;2009;249;SFL;256.575.774.729.262;EST_L;14;0.014;LL;GOM;6;2;Otolith Chemistry
204;US+Can;09BFT88-1;2009;235;SFL;215.828.157.026.768;EST_L;11;0.098;LL;GOM;6;2;Otolith Chemistry
205;US+Can;09BFT89-3;2009;252;SFL;281.428.313.653.406;EST_L;14;0.318;LL;GOM;5;2;Otolith Chemistry
206;US+Can;09BFT9-2;2009;235;SFL;228.247.069.358.031;EST_L;16;0.38;LL;GOM;5;2;Otolith Chemistry
207;US+Can;09BFT9-3;2009;220;SFL;187.285.066.802.529;EST_L;13;0.42;LL;GOM;5;2;Otolith Chemistry
208;US+Can;09BFT9-4;2009;253;SFL;284.790.644.858.454;EST_L;15;0.002;LL;GOM;5;2;Otolith Chemistry
209;US+Can;09BFT90-1;2009;NA;NA;NA;NA;11;0.16;LL;GOM;6;2;Otolith Chemistry
210;US+Can;09BFT91-2;2009;271;SFL;33.044.996.077.787;EST_L;30;0.008;LL;GOM;6;2;Otolith Chemistry
211;US+Can;09BFT92-2;2009;278;SFL;356.620.068.289.145;EST_L;18;0.266;LL;GOM;6;2;Otolith Chemistry
213;US+Can;09BFT94-1;2009;274;SFL;361.722.366.415.926;EST_L;19;0.014;LL;GOM;5;2;Otolith Chemistry
214;US+Can;09BFT95-1;2009;242;SFL;249.248.653.034.504;EST_L;20;0.026;LL;GOM;5;2;Otolith Chemistry
215;US+Can;09BFT96-2;2009;257;SFL;282.007.195.188.503;EST_L;13;0.048;LL;GOM;6;2;Otolith Chemistry
216;US+Can;09BFT97-1;2009;225;SFL;200.341.653.291.175;EST_L;11;0.048;LL;GOM;5;2;Otolith Chemistry
217;US+Can;09BFT98-3;2009;265;SFL;32.724.894.254.641;EST_L;9;0.034;LL;GOM;5;2;Otolith Chemistry
234;US+Can;1019;1977;2.726.506;EST_L;385.55;NA;NA;0.13;UN;GSL;8;3;Otolith Chemistry
239;US+Can;1036;1977;28.004.722;EST_L;426.38;NA;NA;0.124;UN;GSL;8;3;Otolith Chemistry
252;US+Can;10BFT1-1;2010;232;SFL;231.292.318.012.729;EST_L;12;0.048;LL;GOM;3;1;Otolith Chemistry
253;US+Can;10BFT10-2;2010;278;SFL;416.548.181.249.796;EST_L;29;0.068;LL;GOM;4;2;Otolith Chemistry
254;US+Can;10BFT103-1;2010;217.377.406;EST_L;189.551.219.849.642;EST_L;10;0.352;RR;W_ATL;10;4;Otolith Chemistry
255;US+Can;10BFT104-1;2010;231.978.526;EST_L;230.486.503.901.749;EST_L;17;0.184;RR;W_ATL;10;4;Otolith Chemistry
256;US+Can;10BFT108-1;2010;205.177.786;EST_L;159.323.570.053.787;EST_L;10;0.458;RR;W_ATL;10;4;Otolith Chemistry
257;US+Can;10BFT11-4;2010;249;SFL;298.782.050.441.793;EST_L;13;0.048;LL;GOM;4;2;Otolith Chemistry
258;US+Can;10BFT12-6;2010;239;SFL;240.097.013.282.393;EST_L;12;0.002;LL;GOM;5;2;Otolith Chemistry
259;US+Can;10BFT13-4;2010;280;SFL;425.652.646.026.635;EST_L;22;0.012;LL;GOM;4;2;Otolith Chemistry
260;US+Can;10BFT14-5;2010;261;SFL;31.265.823.605.727;EST_L;17;0.15;LL;GOM;5;2;Otolith Chemistry
262;US+Can;10BFT16-2;2010;238;SFL;237.096.997.636.049;EST_L;10;0.006;LL;GOM;5;2;Otolith Chemistry
263;US+Can;10BFT17-2;2010;262;SFL;348.351.802.871.286;EST_L;20;0.092;LL;GOM;4;2;Otolith Chemistry
264;US+Can;10BFT173-1;2010;246.579.646;EST_L;276.935.883.058.655;EST_L;17;0.016;RR;W_ATL;10;4;Otolith Chemistry
265;US+Can;10BFT176-1;2010;131.9;NA;37.6;NA;5;0.038;RR;W_ATL;10;4;Otolith Chemistry
266;US+Can;10BFT177-1;2010;NA;NA;NA;NA;5;0.086;RR;W_ATL;7;3;Otolith Chemistry
267;US+Can;10BFT179-1;2010;188.079.106;EST_L;120.844.184.800.924;EST_L;8;0.07;RR;W_ATL;11;4;Otolith Chemistry
268;US+Can;10BFT18-3;2010;220;SFL;187.285.066.802.529;EST_L;11;0.076;LL;GOM;5;2;Otolith Chemistry
269;US+Can;10BFT183-1;2010;273.476.446;EST_L;372.191.722.332.509;EST_L;20;0.328;RR;W_ATL;11;4;Otolith Chemistry
270;US+Can;10BFT188-1;2010;263.678.326;EST_L;33.354.311.513.869;EST_L;21;0.53;RR;W_ATL;11;4;Otolith Chemistry
271;US+Can;10BFT19-1;2010;246;SFL;261.808.486.954.026;EST_L;12;0.008;LL;GOM;5;2;Otolith Chemistry
272;US+Can;10BFT2-2;2010;252;SFL;296.618.560.920.469;EST_L;12;0.5;LL;GOM;3;1;Otolith Chemistry
273;US+Can;10BFT20-3;2010;257;SFL;328.683.662.238.282;EST_L;15;0.218;LL;GOM;4;2;Otolith Chemistry
274;US+Can;10BFT201-1;2010;256.377.766;EST_L;306.555.804.442.619;EST_L;12;0.078;RR;W_ATL;11;4;Otolith Chemistry
275;US+Can;10BFT207-1;2010;NA;NA;NA;NA;9;0.118;RR;W_ATL;11;4;Otolith Chemistry
277;US+Can;10BFT22-4;2010;230;SFL;213.991.266.543.243;EST_L;15;0.038;LL;GOM;5;2;Otolith Chemistry
278;US+Can;10BFT220-1;2010;280.777.006;EST_L;402.854.337.131.513;EST_L;21;0.04;RR;W_ATL;11;4;Otolith Chemistry
279;US+Can;10BFT222-1;2010;NA;NA;NA;NA;12;0;RR;W_ATL;11;4;Otolith Chemistry
280;US+Can;10BFT223-1;2010;NA;NA;NA;NA;7;0.01;RR;W_ATL;11;4;Otolith Chemistry
281;US+Can;10BFT228-1;2010;NA;NA;313;EST_L;12;0.098;RR;W_ATL;11;4;Otolith Chemistry
282;US+Can;10BFT229-1;2010;188.079.106;EST_L;120.844.184.800.924;EST_L;8;0.404;RR;W_ATL;11;4;Otolith Chemistry
284;US+Can;10BFT230-1;2010;190.480.606;EST_L;125.540.427.442.115;EST_L;6;0.022;RR;W_ATL;11;4;Otolith Chemistry
285;US+Can;10BFT24-1;2010;238;SFL;260.717.233.448.567;EST_L;9;0.068;LL;GOM;4;2;Otolith Chemistry
286;US+Can;10BFT245-1;2010;127.081.006;EST_L;366.304.722.778.845;EST_L;5;0.968;RR;W_ATL;9;3;Otolith Chemistry
287;US+Can;10BFT25-1;2010;239;SFL;264.035.330.285.486;EST_L;10;0.028;LL;GOM;4;2;Otolith Chemistry
288;US+Can;10BFT26-1;2010;244;SFL;26.918.407.021.947;EST_L;19;0.04;LL;GOM;3;1;Otolith Chemistry
289;US+Can;10BFT27-1;2010;213;SFL;186.551.003.589.672;EST_L;10;0.09;LL;GOM;4;2;Otolith Chemistry
293;US+Can;10BFT30-1;2010;265;SFL;34.507.736.606.693;EST_L;20;0.06;LL;GOM;3;1;Otolith Chemistry
294;US+Can;10BFT31-3;2010;234;SFL;24.772.355.199.482;EST_L;11;0.064;LL;GOM;4;2;Otolith Chemistry
295;US+Can;10BFT32-1;2010;242;SFL;274.158.756.506.995;EST_L;11;0.324;LL;GOM;4;2;Otolith Chemistry
296;US+Can;10BFT33-3;2010;223;SFL;214.237.684.013.189;EST_L;15;0.006;LL;GOM;4;2;Otolith Chemistry
297;US+Can;10BFT34-1;2010;262;SFL;333.458.273.713.651;EST_L;18;0.074;LL;GOM;3;1;Otolith Chemistry
298;US+Can;10BFT35-2;2010;225;SFL;210.927.820.057.828;EST_L;8;0.278;LL;GOM;3;1;Otolith Chemistry
299;US+Can;10BFT35-3;2010;233;SFL;234.304.479.874.201;EST_L;12;0.066;LL;GOM;3;1;Otolith Chemistry
300;US+Can;10BFT36-1;2010;246;SFL;27.587.653.288.141;EST_L;13;0.016;LL;GOM;3;1;Otolith Chemistry
302;US+Can;10BFT38-2;2010;243;SFL;277.590.008.914.737;EST_L;22;0.042;LL;GOM;4;2;Otolith Chemistry
304;US+Can;10BFT4-1;2010;250;SFL;289.592.875.001.727;EST_L;14;0.118;LL;GOM;3;1;Otolith Chemistry
306;US+Can;10BFT41-2;2010;230;SFL;235.170.064.625.372;EST_L;11;0.01;LL;GOM;4;2;Otolith Chemistry
307;US+Can;10BFT42-4;2010;251;SFL;30.607.923.010.963;EST_L;11;0.048;LL;GOM;4;2;Otolith Chemistry
308;US+Can;10BFT43-1;2010;249;SFL;286.122.080.119.773;EST_L;13;0.074;LL;GOM;3;1;Otolith Chemistry
309;US+Can;10BFT44-2;2010;248;SFL;295.177.478.166.541;EST_L;16;0;LL;GOM;4;2;Otolith Chemistry
312;US+Can;10BFT46-2;2010;272;SFL;39.001.759.218.145;EST_L;17;0.01;LL;GOM;4;2;Otolith Chemistry
313;US+Can;10BFT49-1;2010;117.2;NA;274.906.231.630.157;EST_L;5;0.898;RR;W_ATL;7;3;Otolith Chemistry
314;US+Can;10BFT5-2;2010;270;SFL;365.037.796.303.797;EST_L;19;0.014;LL;GOM;3;1;Otolith Chemistry
315;US+Can;10BFT50-1;2010;122.2;NA;30.4;NA;5;0.26;RR;W_ATL;7;3;Otolith Chemistry
316;US+Can;10BFT52-3;2010;122.7;NA;33.6;NA;5;0.16;RR;W_ATL;7;3;Otolith Chemistry
317;US+Can;10BFT53-1;2010;125.3;NA;345.246.333.869.007;EST_L;4;0.01;RR;W_ATL;8;3;Otolith Chemistry
320;US+Can;10BFT57-1;2010;212;SFL;167.595.168.757.266;EST_L;13;0.064;LL;GOM;5;2;Otolith Chemistry
321;US+Can;10BFT58-2;2010;222;SFL;192.437.380.619.669;EST_L;19;0.132;LL;GOM;5;2;Otolith Chemistry
322;US+Can;10BFT59-3;2010;219;SFL;184.743.754.366.084;EST_L;13;0.374;LL;GOM;5;2;Otolith Chemistry
323;US+Can;10BFT6-3;2010;262;SFL;333.458.273.713.651;EST_L;15;0.006;LL;GOM;3;1;Otolith Chemistry
324;US+Can;10BFT7-1;2010;276;SFL;407.574.822.946.007;EST_L;22;0.006;LL;GOM;4;2;Otolith Chemistry
325;US+Can;10BFT72-1;2010;129.1;NA;42;NA;5;0.086;RR;W_ATL;9;3;Otolith Chemistry
326;US+Can;10BFT73-1;2010;109.2;NA;25.4;NA;4;0.298;RR;W_ATL;9;3;Otolith Chemistry
327;US+Can;10BFT78-1;2010;122.2;NA;311.514.891.211.365;EST_L;5;0.552;RR;W_ATL;7;3;Otolith Chemistry
328;US+Can;10BFT8-3;2010;261;SFL;344.356.932.346.102;EST_L;14;0.002;LL;GOM;4;2;Otolith Chemistry
329;US+Can;10BFT80-1;2010;124.4;NA;32.860.034.272.779;EST_L;5;0.874;RR;W_ATL;7;3;Otolith Chemistry
350;US+Can;11BFT1-1;2011;100.184.206;EST_L;18.14;NA;4;0.066;RR;W_ATL;5;2;Otolith Chemistry
352;US+Can;11BFT100-1;2011;81.5;NA;926.962.171.592.799;EST_L;2;0.616;RR;W_ATL;7;3;Otolith Chemistry
353;US+Can;11BFT102-1;2011;95.1;NA;18.6;NA;4;0.816;RR;W_ATL;6;2;Otolith Chemistry
354;US+Can;11BFT103-1;2011;103.4;NA;185.582.308.302.402;EST_L;3;0.01;RR;W_ATL;6;2;Otolith Chemistry
355;US+Can;11BFT104-1;2011;NA;NA;NA;NA;2;0.202;RR;W_ATL;6;2;Otolith Chemistry
356;US+Can;11BFT105-1;2011;78.2;NA;9.5;NA;3;0.28;RR;W_ATL;6;2;Otolith Chemistry
357;US+Can;11BFT106-1;2011;95.5;NA;19.1;NA;4;0.202;RR;W_ATL;6;2;Otolith Chemistry
358;US+Can;11BFT107-1;2011;86.5;NA;10.9;NA;2;0.114;RR;W_ATL;6;2;Otolith Chemistry
359;US+Can;11BFT108-1;2011;82.4;NA;941.634.060.103.334;EST_L;3;0.396;RR;W_ATL;6;2;Otolith Chemistry
360;US+Can;11BFT11-1;2011;100.3;NA;169.444.967.016.906;EST_L;4;0.054;RR;W_ATL;6;2;Otolith Chemistry
361;US+Can;11BFT110-1;2011;134.2;NA;39.92;NA;5;0.03;RR;W_ATL;7;3;Otolith Chemistry
362;US+Can;11BFT111-1;2011;135.1;NA;39.46;NA;5;0.358;RR;W_ATL;7;3;Otolith Chemistry
363;US+Can;11BFT112-1;2011;142.3;NA;49.89;NA;6;0.368;RR;W_ATL;7;3;Otolith Chemistry
364;US+Can;11BFT114-1;2011;61.8;NA;405.003.753.232.944;EST_L;2;0.176;RR;W_ATL;7;3;Otolith Chemistry
365;US+Can;11BFT12-1;2011;99.8;NA;166.933.029.950.283;EST_L;3;0;RR;W_ATL;6;2;Otolith Chemistry
366;US+Can;11BFT13-1;2011;97.4;NA;155.220.190.117.483;EST_L;4;0.092;RR;W_ATL;6;2;Otolith Chemistry
367;US+Can;11BFT14-1;2011;85.4;NA;10.43;NA;2;0.112;RR;W_ATL;6;2;Otolith Chemistry
368;US+Can;11BFT15-1;2011;103.1;NA;183.977.773.072.189;EST_L;3;0;RR;W_ATL;6;2;Otolith Chemistry
369;US+Can;11BFT153-1;2011;101.2;NA;177.183.416.417.352;EST_L;5;0.202;RR;W_ATL;7;3;Otolith Chemistry
370;US+Can;11BFT154-1;2011;146.3;NA;52.7;NA;6;0.218;RR;W_ATL;7;3;Otolith Chemistry
371;US+Can;11BFT156-1;2011;NA;NA;NA;NA;3;0.084;RR;W_ATL;7;3;Otolith Chemistry
372;US+Can;11BFT157-1;2011;136.3;NA;42.3;NA;5;0.322;RR;W_ATL;7;3;Otolith Chemistry
373;US+Can;11BFT158-1;2011;142;NA;41.73;NA;5;0.054;RR;W_ATL;7;3;Otolith Chemistry
374;US+Can;11BFT159-1;2011;141.4;NA;43.99;NA;5;0.372;RR;W_ATL;7;3;Otolith Chemistry
375;US+Can;11BFT16-1;2011;80;NA;862.019.396.729.251;EST_L;2;0.044;RR;W_ATL;6;2;Otolith Chemistry
376;US+Can;11BFT160-1;2011;148.2;NA;56.24;NA;5;0.054;RR;W_ATL;7;3;Otolith Chemistry
377;US+Can;11BFT161-1;2011;89.1;NA;37.19;NA;9;0.308;RR;W_ATL;7;3;Otolith Chemistry
378;US+Can;11BFT162-1;2011;149.2;NA;56.02;NA;6;0.008;RR;W_ATL;7;3;Otolith Chemistry
379;US+Can;11BFT163-1;2011;111.9;NA;23.59;NA;3;0;RR;W_ATL;7;3;Otolith Chemistry
380;US+Can;11BFT164-1;2011;144.1;NA;510.173.977.602.637;EST_L;5;0.324;RR;W_ATL;7;3;Otolith Chemistry
381;US+Can;11BFT165-1;2011;101.3;NA;177.707.861.901.202;EST_L;3;0.462;RR;W_ATL;7;3;Otolith Chemistry
382;US+Can;11BFT166-1;2011;147.7;NA;40.36;NA;6;0.14;RR;W_ATL;7;3;Otolith Chemistry
383;US+Can;11BFT167-1;2011;126.9;NA;34.47;NA;5;0.368;RR;W_ATL;7;3;Otolith Chemistry
384;US+Can;11BFT168-1;2011;232;SFL;219.620.107.816.189;EST_L;13;0.334;LL;GOM;5;2;Otolith Chemistry
385;US+Can;11BFT169-1;2011;258;SFL;302.004.447.215.107;EST_L;21;0.038;LL;GOM;5;2;Otolith Chemistry
386;US+Can;11BFT169-2;2011;248;SFL;268.243.576.739.669;EST_L;17;0.272;LL;GOM;5;2;Otolith Chemistry
387;US+Can;11BFT17-1;2011;107.580.826;EST_L;18.14;NA;6;0.216;RR;W_ATL;6;2;Otolith Chemistry
388;US+Can;11BFT170-1;2011;270;SFL;381.431.803.214.436;EST_L;18;0.058;LL;GOM;4;2;Otolith Chemistry
389;US+Can;11BFT171-1;2011;147.3;NA;544.832.252.456.918;EST_L;5;0.064;RR;W_ATL;7;3;Otolith Chemistry
392;US+Can;11BFT174-1;2011;232;SFL;241.392.261.937.354;EST_L;12;0.02;LL;GOM;4;2;Otolith Chemistry
393;US+Can;11BFT175-1;2011;236;SFL;254.164.890.540.304;EST_L;12;0.02;LL;GOM;4;2;Otolith Chemistry
394;US+Can;11BFT176-1;2011;111.8;NA;20.41;NA;4;0.078;RR;W_ATL;7;3;Otolith Chemistry
395;US+Can;11BFT177-1;2011;109.5;NA;20.41;NA;3;0.584;RR;W_ATL;7;3;Otolith Chemistry
396;US+Can;11BFT178-1;2011;128.9;NA;365.468.097.178.186;EST_L;5;0.37;RR;W_ATL;7;3;Otolith Chemistry
397;US+Can;11BFT179-1;2011;87.3;NA;113.869.445.068.582;EST_L;2;0.446;RR;W_ATL;7;3;Otolith Chemistry
398;US+Can;11BFT18-1;2011;107.580.826;EST_L;21.77;NA;4;0.058;RR;W_ATL;6;2;Otolith Chemistry
399;US+Can;11BFT180-1;2011;101.3;NA;177.707.861.901.202;EST_L;4;0.086;RR;W_ATL;7;3;Otolith Chemistry
400;US+Can;11BFT181-1;2011;110.2;NA;23.13;NA;5;0.198;RR;W_ATL;7;3;Otolith Chemistry
401;US+Can;11BFT182-1;2011;106.2;NA;204.690.389.210.114;EST_L;3;0;RR;W_ATL;7;3;Otolith Chemistry
402;US+Can;11BFT183-1;2011;92.1;NA;10.88;NA;4;0.134;RR;W_ATL;7;3;Otolith Chemistry
403;US+Can;11BFT184-1;2011;148.1;NA;44.45;NA;5;0.078;RR;W_ATL;7;3;Otolith Chemistry
404;US+Can;11BFT185-1;2011;147.3;NA;45.36;NA;6;0.404;RR;W_ATL;7;3;Otolith Chemistry
405;US+Can;11BFT186-1;2011;139.280.626;EST_L;460.797.038.947.374;EST_L;6;0.278;RR;W_ATL;7;3;Otolith Chemistry
406;US+Can;11BFT189-1;2011;141.682.126;EST_L;499.030.407.672.071;EST_L;7;0.002;RR;W_ATL;8;3;Otolith Chemistry
407;US+Can;11BFT19-1;2011;100.1;NA;27.22;NA;4;0.094;RR;W_ATL;6;2;Otolith Chemistry
408;US+Can;11BFT190-1;2011;129.482.506;EST_L;370.432.660.174.972;EST_L;5;0.042;RR;W_ATL;7;3;Otolith Chemistry
409;US+Can;11BFT192-1;2011;139.280.626;EST_L;47.409.680.578.604;EST_L;5;0.202;RR;W_ATL;8;3;Otolith Chemistry
410;US+Can;11BFT193-1;2011;139.280.626;EST_L;460.797.038.947.374;EST_L;6;0.346;RR;W_ATL;7;3;Otolith Chemistry
411;US+Can;11BFT194-1;2011;141.682.126;EST_L;499.030.407.672.071;EST_L;7;1;RR;W_ATL;8;3;Otolith Chemistry
412;US+Can;11BFT195-1;2011;134.381.566;EST_L;413.974.590.801.466;EST_L;5;0.278;RR;W_ATL;7;3;Otolith Chemistry
413;US+Can;11BFT196-1;2011;114.881.386;EST_L;258.950.087.795.574;EST_L;5;0.29;RR;W_ATL;7;3;Otolith Chemistry
414;US+Can;11BFT197-1;2011;139.280.626;EST_L;460.797.038.947.374;EST_L;6;0.316;RR;W_ATL;7;3;Otolith Chemistry
415;US+Can;11BFT198-1;2011;109.982.326;EST_L;233.530.905.996.162;EST_L;4;0;RR;W_ATL;8;3;Otolith Chemistry
416;US+Can;11BFT199-1;2011;136.783.066;EST_L;436.509.497.317.876;EST_L;4;0.07;RR;W_ATL;7;3;Otolith Chemistry
417;US+Can;11BFT2-1;2011;102.585.706;EST_L;190.056.608.596.463;EST_L;4;0.052;RR;W_ATL;5;2;Otolith Chemistry
418;US+Can;11BFT20-1;2011;103.4;NA;185.582.308.302.402;EST_L;4;0.072;RR;W_ATL;6;2;Otolith Chemistry
419;US+Can;11BFT201-1;2011;143.507.266;EST_L;503.919.895.397.005;EST_L;6;0.862;RR;W_ATL;7;3;Otolith Chemistry
420;US+Can;11BFT205-1;2011;139.280.626;EST_L;460.797.038.947.374;EST_L;5;0.636;RR;W_ATL;7;3;Otolith Chemistry
