,SampID,PortSampled,Source,ID,Year,Length,Type_length,Weight,Type_of_weight,age,Prob.East.,GEAR,BFT_Area,Month,quarter,Method
54,2942,New England,Can,09BFT1-1,1976,106.4,CFL,20,TW,3,0.992,PS,W_ATL,8,3,stable isotope
55,2943,New England,Can,09BFT1-1,1976,103.1,CFL,19,TW,NA,0.232,PS,W_ATL,8,3,stable isotope
56,2945,New England,Can,09BFT1-1,1976,83.8,CFL,10,TW,2,0.41,PS,W_ATL,8,3,stable isotope
57,2949,New England,Can,09BFT1-1,1976,84,CFL,10,TW,2,0.03,PS,W_ATL,8,3,stable isotope
58,2950,New England,Can,09BFT1-1,1976,102.8,CFL,18,TW,3,0.414,PS,W_ATL,8,3,stable isotope
59,2952,New England,Can,09BFT1-1,1976,101.2,CFL,18,TW,3,0.132,PS,W_ATL,8,3,stable isotope
60,2954,New England,Can,09BFT1-1,1976,88,CFL,12,TW,NA,0.01,PS,W_ATL,8,3,stable isotope
61,2956,New England,Can,09BFT1-1,1976,84.5,CFL,10,TW,NA,0.078,PS,W_ATL,8,3,stable isotope
62,2957,New England,Can,09BFT1-1,1976,102,CFL,18,TW,3,0.464,PS,W_ATL,8,3,stable isotope
63,2958,New England,Can,09BFT1-1,1976,108.4,CFL,22,TW,3,0.086,PS,W_ATL,8,3,stable isotope
64,2959,New England,Can,09BFT1-1,1976,84.3,CFL,10,TW,2,0.246,PS,W_ATL,8,3,stable isotope
65,2963,New England,Can,09BFT1-1,1976,84.1,CFL,10,TW,2,0.002,PS,W_ATL,8,3,stable isotope
66,2964,New England,Can,09BFT1-1,1976,NA,CFL,NA,TW,3,0.26,PS,W_ATL,8,3,stable isotope
67,2965,New England,Can,09BFT1-1,1976,107.5,CFL,21,TW,3,0.078,PS,W_ATL,8,3,stable isotope
68,2966,New England,Can,09BFT1-1,1976,103,CFL,19,TW,NA,0.996,PS,W_ATL,8,3,stable isotope
69,2967,New England,Can,09BFT1-1,1976,83.5,CFL,10,TW,3,0.02,PS,W_ATL,8,3,stable isotope
70,2968,New England,Can,09BFT1-1,1976,85,CFL,10,TW,2,0.278,PS,W_ATL,8,3,stable isotope
71,2969,New England,Can,09BFT1-1,1976,78.8,CFL,8,TW,2,0.014,PS,W_ATL,8,3,stable isotope
72,2971,New England,Can,09BFT1-1,1976,82.2,CFL,9,TW,2,0.086,PS,W_ATL,8,3,stable isotope
73,2972,New England,Can,09BFT1-1,1976,83.6,CFL,10,TW,2,0.282,PS,W_ATL,8,3,stable isotope
74,2974,New England,Can,09BFT1-1,1976,105.1,CFL,20,TW,3,0.416,PS,W_ATL,8,3,stable isotope
75,2975,New England,Can,09BFT1-1,1976,84,CFL,10,TW,2,0.068,PS,W_ATL,8,3,stable isotope
76,2976,New England,Can,09BFT1-1,1976,103,CFL,19,TW,3,0.012,PS,W_ATL,8,3,stable isotope
77,2977,New England,Can,09BFT1-1,1976,100,CFL,17,TW,3,0.096,PS,W_ATL,8,3,stable isotope
78,3156,Wedgeport,Can,09BFT1-1,2010,256.54,CFL,241,TW,15,0.88,RR,W_ATL,8,3,stable isotope
79,3157,Wedgeport,Can,09BFT1-1,2010,201.35,CFL,140,TW,9,0.366,RR,W_ATL,8,3,stable isotope
80,3158,Wedgeport,Can,09BFT1-1,2010,208.47,CFL,154,TW,8,0.986,RR,W_ATL,8,3,stable isotope
81,3159,Wedgeport,Can,09BFT1-1,2010,208.28,CFL,118,TW,9,0.334,RR,W_ATL,8,3,stable isotope
82,3160,Wedgeport,Can,09BFT1-1,2010,218.09,CFL,175,TW,13,0.688,RR,W_ATL,8,3,stable isotope
83,3161,Wedgeport,Can,09BFT1-1,2010,209,CFL,155,TW,12,0.134,RR,W_ATL,8,3,stable isotope
84,3163,Wedgeport,Can,09BFT1-1,2010,254,CFL,212,TW,13,0.09,RR,W_ATL,8,3,stable isotope
85,3164,Wedgeport,Can,09BFT1-1,2010,212.88,CFL,164,TW,10,0.228,RR,W_ATL,8,3,stable isotope
86,3165,Wedgeport,Can,09BFT1-1,2010,251.46,CFL,233,TW,15,0.038,RR,W_ATL,9,3,stable isotope
87,3166,Wedgeport,Can,09BFT1-1,2010,182.88,CFL,89,TW,7,0.058,RR,W_ATL,9,3,stable isotope
88,3167,Wedgeport,Can,09BFT1-1,2010,180.34,CFL,170,TW,15,0.048,RR,W_ATL,9,3,stable isotope
89,3168,Wedgeport,Can,09BFT1-1,2010,218.44,CFL,162,TW,9,0.272,RR,W_ATL,9,3,stable isotope
90,3169,Wedgeport,Can,09BFT1-1,2010,238.76,CFL,196,TW,11,0.722,RR,W_ATL,9,3,stable isotope
91,3170,Wedgeport,Can,09BFT1-1,2010,208.28,CFL,137,TW,9,0.716,RR,W_ATL,9,3,stable isotope
92,3171,Wedgeport,Can,09BFT1-1,2010,243.84,CFL,224,TW,11,0.018,RR,W_ATL,9,3,stable isotope
93,3172,Wedgeport,Can,09BFT1-1,2010,243.84,CFL,185,TW,14,0.652,RR,W_ATL,9,3,stable isotope
94,3173,Wedgeport,Can,09BFT1-1,2010,264.16,CFL,265,TW,11,0.032,RR,W_ATL,9,3,stable isotope
95,3174,Wedgeport,Can,09BFT1-1,2010,241.3,CFL,207,TW,10,0.082,RR,W_ATL,9,3,stable isotope
96,3175,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,16,0.012,RR,W_ATL,10,4,stable isotope
97,3177,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,15,0.754,RR,W_ATL,10,4,stable isotope
98,3178,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,14,0.04,RR,W_ATL,10,4,stable isotope
99,3179,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,11,0.024,RR,W_ATL,10,4,stable isotope
100,3180,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,16,0.028,RR,W_ATL,10,4,stable isotope
101,3181,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,9,0.272,RR,W_ATL,10,4,stable isotope
102,3182,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,11,0.712,RR,W_ATL,10,4,stable isotope
103,3183,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,10,0.008,RR,W_ATL,10,4,stable isotope
104,3184,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,9,0.17,RR,W_ATL,10,4,stable isotope
105,3185,Annandale,Can,09BFT1-1,2010,NA,CFL,NA,TW,18,0.248,RR,GSL,8,3,stable isotope
106,3186,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,8,0.836,RR,W_ATL,10,4,stable isotope
107,3187,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,10,0.346,RR,W_ATL,10,4,stable isotope
108,3188,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,20,0.264,RR,W_ATL,10,4,stable isotope
109,3189,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,10,0.958,RR,W_ATL,10,4,stable isotope
110,3190,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,16,0.248,RR,W_ATL,10,4,stable isotope
111,3191,Wedgeport,Can,09BFT1-1,2010,220.98,CFL,189,TW,10,0.066,TL,W_ATL,9,3,stable isotope
112,3192,Wedgeport,Can,09BFT1-1,2010,243.84,CFL,168,TW,20,0.14,RR,W_ATL,9,3,stable isotope
113,3193,Wedgeport,Can,09BFT1-1,2010,213.36,CFL,167,TW,11,0.08,RR,W_ATL,9,3,stable isotope
114,3194,Wedgeport,Can,09BFT1-1,2010,254,CFL,315,TW,14,0.024,TL,W_ATL,9,3,stable isotope
115,3195,Wedgeport,Can,09BFT1-1,2010,236.22,CFL,236,TW,14,0.302,RR,W_ATL,9,3,stable isotope
116,3196,Wedgeport,Can,09BFT1-1,2010,254,CFL,289,TW,10,0.086,RR,W_ATL,9,3,stable isotope
117,3197,St. Joseph's,Can,09BFT1-1,2010,289.56,CFL,305,TW,20,0.144,RR,W_ATL,9,3,stable isotope
118,3198,St. Joseph's,Can,09BFT1-1,2010,302.26,CFL,305,TW,20,0.848,RR,W_ATL,9,3,stable isotope
119,3199,St. Joseph's,Can,09BFT1-1,2010,251.46,CFL,305,TW,16,0.506,RR,W_ATL,9,3,stable isotope
120,3200,St. Joseph's,Can,09BFT1-1,2010,259.08,CFL,258,TW,20,0.27,RR,W_ATL,9,3,stable isotope
121,3201,St. Joseph's,Can,09BFT1-1,2010,269.24,CFL,281,TW,19,0.066,RR,W_ATL,9,3,stable isotope
122,3202,St. Joseph's,Can,09BFT1-1,2010,274.32,CFL,305,TW,19,0.416,RR,W_ATL,9,3,stable isotope
123,3203,St. Joseph's,Can,09BFT1-1,2010,299.72,CFL,375,TW,16,0.044,RR,W_ATL,9,3,stable isotope
124,3204,St. Joseph's,Can,09BFT1-1,2010,274.32,CFL,305,TW,16,0.38,RR,W_ATL,9,3,stable isotope
125,3205,Wedgeport,Can,09BFT1-1,2010,258.44,CFL,308,TW,13,0.426,TR,W_ATL,9,3,stable isotope
126,3206,Wedgeport,Can,09BFT1-1,2010,275.45,CFL,372,TW,21,0.272,TR,W_ATL,9,3,stable isotope
127,3207,Wedgeport,Can,09BFT1-1,2010,251.92,CFL,266,TW,16,0.364,TR,W_ATL,8,3,stable isotope
128,3208,Wedgeport,Can,09BFT1-1,2010,256.07,CFL,299,TW,15,0.35,TR,W_ATL,9,3,stable isotope
129,3209,Wedgeport,Can,09BFT1-1,2010,254.46,CFL,294,TW,11,0.474,TR,W_ATL,9,3,stable isotope
130,3210,Wedgeport,Can,09BFT1-1,2010,249.17,CFL,276,TW,14,0.892,TR,W_ATL,9,3,stable isotope
131,3211,Wedgeport,Can,09BFT1-1,2010,285.39,CFL,414,TW,17,0.29,TR,W_ATL,9,3,stable isotope
132,3212,Wedgeport,Can,09BFT1-1,2010,304.8,CFL,456,TW,18,0.274,TL,W_ATL,10,4,stable isotope
133,3213,Wedgeport,Can,09BFT1-1,2010,238.76,CFL,254,TW,10,0.136,TL,W_ATL,10,4,stable isotope
134,3214,Wedgeport,Can,09BFT1-1,2010,259.08,CFL,246,TW,12,0.27,RR,W_ATL,10,4,stable isotope
135,3215,Wedgeport,Can,09BFT1-1,2010,228.6,CFL,200,TW,8,0.28,HPe,W_ATL,10,4,stable isotope
136,3216,Wedgeport,Can,09BFT1-1,2010,243.84,CFL,237,TW,10,0.078,HPe,W_ATL,10,4,stable isotope
137,3217,Wedgeport,Can,09BFT1-1,2010,259.08,CFL,334,TW,10,0.07,TL,W_ATL,10,4,stable isotope
138,3218,Wedgeport,Can,09BFT1-1,2010,264.14,CFL,315,TW,20,0.326,TL,W_ATL,10,4,stable isotope
139,3219,Wedgeport,Can,09BFT1-1,2010,251.46,CFL,250,TW,11,0.266,TL,W_ATL,10,4,stable isotope
140,3220,Wedgeport,Can,09BFT1-1,2010,208.28,CFL,175,TW,12,0.034,TL,W_ATL,10,4,stable isotope
141,3221,Wedgeport,Can,09BFT1-1,2010,185.42,CFL,113,TW,7,0.642,TL,W_ATL,10,4,stable isotope
142,3222,Wedgeport,Can,09BFT1-1,2010,238.76,CFL,250,TW,11,0.09,TL,W_ATL,10,4,stable isotope
143,3223,Wedgeport,Can,09BFT1-1,2010,228.6,CFL,200,TW,9,0.958,TL,W_ATL,10,4,stable isotope
144,3224,Wedgeport,Can,09BFT1-1,2010,233.68,CFL,170,TW,10,0.656,RR,W_ATL,10,4,stable isotope
145,3225,Wedgeport,Can,09BFT1-1,2010,271.78,CFL,320,TW,12,0.876,TL,W_ATL,10,4,stable isotope
146,3226,Wedgeport,Can,09BFT1-1,2010,243.84,CFL,227,TW,13,0.256,TL,W_ATL,10,4,stable isotope
147,3227,Wedgeport,Can,09BFT1-1,2010,271.78,CFL,306,TW,19,0.058,TL,W_ATL,10,4,stable isotope
148,3228,Wedgeport,Can,09BFT1-1,2010,187.96,CFL,132,TW,7,0.28,TL,W_ATL,10,4,stable isotope
149,3229,Wedgeport,Can,09BFT1-1,2010,256.54,CFL,236,TW,16,0.862,TL,W_ATL,10,4,stable isotope
150,3230,Wedgeport,Can,09BFT1-1,2010,299.72,CFL,352,TW,19,0.296,RR,W_ATL,10,4,stable isotope
151,3231,Wedgeport,Can,09BFT1-1,2010,261.62,CFL,271,TW,17,0.77,RR,W_ATL,10,4,stable isotope
152,3232,Wedgeport,Can,09BFT1-1,2010,251.46,CFL,243,TW,10,0.878,HPe,W_ATL,10,4,stable isotope
153,3233,Wedgeport,Can,09BFT1-1,2010,251.46,CFL,215,TW,15,0.286,RR,W_ATL,10,4,stable isotope
154,3234,Wedgeport,Can,09BFT1-1,2010,231.14,CFL,199,TW,10,0.206,HPe,W_ATL,10,4,stable isotope
155,3235,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,15,0.078,RR,W_ATL,11,4,stable isotope
156,3236,Wedgeport,Can,09BFT1-1,2010,NA,CFL,NA,TW,16,0.006,RR,W_ATL,11,4,stable isotope
157,3237,North Lake,Can,09BFT1-1,2011,256,CFL,293,TW,10,0.04,RR,GSL,7,3,stable isotope
158,3238,North Lake,Can,09BFT1-1,2011,288,CFL,354,TW,20,0.09,RR,GSL,7,3,stable isotope
159,3239,North Lake,Can,09BFT1-1,2011,271,CFL,306,TW,14,0.016,RR,GSL,8,3,stable isotope
160,3240,North Lake,Can,09BFT1-1,2011,279,CFL,325,TW,18,0.03,RR,GSL,8,3,stable isotope
161,3241,North Lake,Can,09BFT1-1,2011,263,CFL,184,TW,12,0.042,RR,GSL,8,3,stable isotope
162,3242,North Lake,Can,09BFT1-1,2011,270,CFL,298,TW,13,0.02,RR,GSL,7,3,stable isotope
163,3243,North Lake,Can,09BFT1-1,2011,269,CFL,294,TW,16,0.042,RR,GSL,8,3,stable isotope
164,3244,North Lake,Can,09BFT1-1,2011,261,CFL,275,TW,13,0.01,RR,GSL,8,3,stable isotope
165,3245,North Lake,Can,09BFT1-1,2011,290,CFL,367,TW,17,0.026,RR,GSL,8,3,stable isotope
166,3247,North Lake,Can,09BFT1-1,2011,270,CFL,303,TW,17,0.092,RR,GSL,8,3,stable isotope
167,3248,North Lake,Can,09BFT1-1,2011,292,CFL,382,TW,21,0.262,RR,GSL,8,3,stable isotope
168,3249,North Lake,Can,09BFT1-1,2011,210,CFL,354,TW,22,0.02,RR,GSL,8,3,stable isotope
169,3250,North Lake,Can,09BFT1-1,2011,234,CFL,230,TW,9,0.808,RR,GSL,8,3,stable isotope
170,3251,North Lake,Can,09BFT1-1,2011,270,CFL,351,TW,15,0.02,RR,GSL,8,3,stable isotope
171,3252,North Lake,Can,09BFT1-1,2011,278.49,CFL,349,TW,21,0.024,RR,GSL,8,3,stable isotope
172,3253,North Lake,Can,09BFT1-1,2011,292,CFL,359,TW,21,0.012,RR,GSL,8,3,stable isotope
173,3254,North Lake,Can,09BFT1-1,2011,266,CFL,337,TW,17,0.022,RR,GSL,8,3,stable isotope
174,3255,North Lake,Can,09BFT1-1,2011,284,CFL,381,TW,21,0.012,RR,GSL,8,3,stable isotope
175,3256,North Lake,Can,09BFT1-1,2011,267,CFL,304,TW,15,0.012,RR,GSL,8,3,stable isotope
176,3257,North Lake,Can,09BFT1-1,2011,220,CFL,156,TW,11,0.59,RR,GSL,8,3,stable isotope
177,3258,North Lake,Can,09BFT1-1,2011,274,CFL,285,TW,23,0.06,RR,GSL,8,3,stable isotope
178,3259,North Lake,Can,09BFT1-1,2011,235,CFL,201,TW,10,0.022,RR,GSL,8,3,stable isotope
179,3260,North Lake,Can,09BFT1-1,2011,197,CFL,120,TW,10,0.022,RR,GSL,8,3,stable isotope
180,3261,North Lake,Can,09BFT1-1,2011,270,CFL,394,TW,14,0.038,TL,GSL,8,3,stable isotope
181,3262,North Lake,Can,09BFT1-1,2011,270,CFL,372,TW,16,0.016,RR,GSL,8,3,stable isotope
182,3263,North Lake,Can,09BFT1-1,2011,281,CFL,361,TW,21,0.004,RR,GSL,8,3,stable isotope
183,3264,Wedgeport,Can,09BFT1-1,2011,233.68,CFL,174,TW,9,0.814,RR,W_ATL,8,3,stable isotope
184,3265,Wedgeport,Can,09BFT1-1,2011,233.68,CFL,196,TW,10,0.884,RR,W_ATL,8,3,stable isotope
185,3266,Wedgeport,Can,09BFT1-1,2011,238.76,CFL,223,TW,11,0.016,RR,W_ATL,8,3,stable isotope
186,3267,Wedgeport,Can,09BFT1-1,2011,251.46,CFL,271,TW,17,0.03,RR,W_ATL,8,3,stable isotope
187,3268,Wedgeport,Can,09BFT1-1,2011,276.86,CFL,293,TW,15,0.094,RR,W_ATL,8,3,stable isotope
188,3269,Wedgeport,Can,09BFT1-1,2011,203.2,CFL,120,TW,8,0.014,RR,W_ATL,8,3,stable isotope
189,3270,Wedgeport,Can,09BFT1-1,2011,233.68,CFL,189,TW,11,0.012,RR,W_ATL,8,3,stable isotope
190,3271,Wedgeport,Can,09BFT1-1,2011,198.12,CFL,127,TW,8,0.12,RR,W_ATL,8,3,stable isotope
191,3273,Port Hood,Can,09BFT1-1,2011,210,CFL,140,TW,10,0.036,RR,GSL,9,3,stable isotope
192,3274,Port Hood,Can,09BFT1-1,2011,200,CFL,126,TW,8,0.088,RR,GSL,9,3,stable isotope
193,3275,Port Hood,Can,09BFT1-1,2011,271,CFL,358,TW,22,0.028,RR,GSL,9,3,stable isotope
194,3276,Port Hood,Can,09BFT1-1,2011,270,CFL,319,TW,12,0.614,RR,GSL,9,3,stable isotope
195,3277,Port Hood,Can,09BFT1-1,2011,200,CFL,277,TW,15,0.006,RR,GSL,9,3,stable isotope
196,3278,Port Hood,Can,09BFT1-1,2011,222.44,CFL,194,TW,11,0.08,RR,GSL,9,3,stable isotope
197,3279,North Lake,Can,09BFT1-1,2011,275,CFL,362,TW,14,0.01,RR,GSL,9,3,stable isotope
198,3280,North Lake,Can,09BFT1-1,2011,274,CFL,349,TW,13,0.018,RR,GSL,9,3,stable isotope
199,3281,North Lake,Can,09BFT1-1,2011,306,CFL,412,TW,19,0.068,RR,GSL,9,3,stable isotope
200,3282,North Lake,Can,09BFT1-1,2011,287,CFL,427,TW,17,0.022,RR,GSL,9,3,stable isotope
201,3283,North Lake,Can,09BFT1-1,2011,268,CFL,360,TW,18,0.072,RR,GSL,9,3,stable isotope
202,3284,North Lake,Can,09BFT1-1,2011,275,CFL,325,TW,15,0.02,RR,GSL,9,3,stable isotope
203,3285,North Lake,Can,09BFT1-1,2011,285,CFL,300,TW,13,0.358,RR,GSL,9,3,stable isotope
204,3286,North Lake,Can,09BFT1-1,2011,259,CFL,239,TW,12,0.01,RR,GSL,9,3,stable isotope
205,3287,North Lake,Can,09BFT1-1,2011,249,CFL,263,TW,10,0.014,RR,GSL,9,3,stable isotope
206,3288,North Lake,Can,09BFT1-1,2011,250,CFL,314,TW,12,0.018,RR,GSL,9,3,stable isotope
207,3289,North Lake,Can,09BFT1-1,2011,282,CFL,396,TW,21,0.07,RR,GSL,9,3,stable isotope
208,3290,North Lake,Can,09BFT1-1,2011,269,CFL,316,TW,12,0.068,RR,GSL,9,3,stable isotope
209,3291,North Lake,Can,09BFT1-1,2011,275,CFL,325,TW,17,0.082,RR,GSL,9,3,stable isotope
210,3292,North Lake,Can,09BFT1-1,2011,266,CFL,311,TW,15,0.024,RR,GSL,9,3,stable isotope
211,3293,North Lake,Can,09BFT1-1,2011,277,CFL,310,TW,15,0.016,RR,GSL,9,3,stable isotope
212,3294,North Lake,Can,09BFT1-1,2011,272,CFL,293,TW,15,0.084,RR,GSL,9,3,stable isotope
213,3295,North Lake,Can,09BFT1-1,2011,258.21,CFL,278,TW,14,0.038,RR,GSL,11,4,stable isotope
214,3296,North Lake,Can,09BFT1-1,2011,252,CFL,265,TW,9,0.04,RR,GSL,9,3,stable isotope
215,3297,North Lake,Can,09BFT1-1,2011,271.02,CFL,321,TW,13,0.024,RR,GSL,9,3,stable isotope
216,3298,North Lake,Can,09BFT1-1,2011,262,CFL,327,TW,17,0.002,RR,GSL,9,3,stable isotope
217,3299,North Lake,Can,09BFT1-1,2011,262,CFL,315,TW,15,0.696,RR,GSL,9,3,stable isotope
218,3300,North Lake,Can,09BFT1-1,2011,256,CFL,274,TW,10,0.002,RR,GSL,9,3,stable isotope
219,3301,North Lake,Can,09BFT1-1,2011,266,CFL,290,TW,20,0.024,RR,GSL,9,3,stable isotope
220,3302,North Lake,Can,09BFT1-1,2011,279,CFL,360,TW,15,0.038,RR,GSL,9,3,stable isotope
221,3303,North Lake,Can,09BFT1-1,2011,260,CFL,289,TW,16,0.022,RR,GSL,9,3,stable isotope
222,3304,North Lake,Can,09BFT1-1,2011,260,CFL,238,TW,17,0.072,RR,GSL,9,3,stable isotope
223,3305,North Lake,Can,09BFT1-1,2011,267,CFL,318,TW,15,0.038,TL,GSL,9,3,stable isotope
224,3306,North Lake,Can,09BFT1-1,2011,255,CFL,235,TW,11,0.142,RR,GSL,9,3,stable isotope
225,3307,North Lake,Can,09BFT1-1,2011,274,CFL,385,TW,16,0.096,RR,GSL,9,3,stable isotope
226,3308,North Lake,Can,09BFT1-1,2011,252,CFL,253,TW,17,0.002,RR,GSL,8,3,stable isotope
