ID1,Source,ID,Year,Length,Type_length,Weight,Type_of_weight,age,Prob(East),GEAR,BFT_Area,Month,Season,Quarter
26,US,1974_MA_1020,2011,119.4,CFL,NA,,5,0.056,RR,W_ATL,10,F,4
27,US,1974_MA_1021,2011,207,CFL,NA,,20,0.226,,W_ATL,10,F,4
28,US,1974_MA_1022,2011,245.4,CFL,NA,,13,0.03,,W_ATL,10,F,4
29,US,1974_MA_1023,2011,187.2,CFL,NA,,10,0.022,,W_ATL,7,S,3
30,US,1974_MA_1024,2011,234.7,CFL,NA,,12,0.004,,W_ATL,10,F,4
31,US,1974_MA_1025,2011,161.1,CFL,NA,,11,0.39,,W_ATL,10,F,4
32,US,1974_MA_1026,2011,207,CFL,NA,,11,0.156,,W_ATL,10,F,4
33,US,1974_MA_1027,2011,287.7,CFL,NA,,11,0.312,RR,W_ATL,10,F,4
34,US,1974_MA_1028,2011,180.3,CFL,NA,,10,0.058,,W_ATL,10,F,4
35,US,1974_MA_1029,2011,203.8,CFL,NA,,10,0.1,,W_ATL,10,F,4
36,US,1974_MA_103,1975,56.8,CFL,NA,,1,0.19,,W_ATL,7,S,3
37,US,1974_MA_1030,2011,197.4,CFL,NA,,9,0.06,,W_ATL,10,F,4
38,US,1974_MA_1031,2011,162.2,CFL,NA,,8,0.2,,W_ATL,10,F,4
39,US,1974_MA_1032,2011,163.3,CFL,NA,,8,0.058,,W_ATL,10,F,4
40,US,1974_MA_1033,2011,189.9,CFL,NA,,8,0.042,,W_ATL,10,F,4
41,US,1974_MA_1034,2011,193.8,CFL,NA,,10,0.032,,W_ATL,7,S,3
42,US,1974_MA_1035,2011,143.6,CFL,NA,,5,0.082,RR,W_ATL,11,F,4
43,US,1974_MA_1036,2011,274.3,CFL,NA,,16,0.124,RR,W_ATL,11,F,4
44,US,1974_MA_1037,2011,228.6,CFL,NA,,11,0.14,RR,W_ATL,11,F,4
45,US,1974_MA_1038,2011,213.9,CFL,NA,,9,0.12,RR,W_ATL,11,F,4
46,US,1974_MA_1039,2011,236.2,CFL,NA,,9,0.084,RR,W_ATL,11,F,4
47,US,1974_MA_104,1975,58.1,CFL,NA,,1,0.096,,W_ATL,7,S,3
48,US,1974_MA_1040,2011,246.3,CFL,NA,,13,0.112,RR,W_ATL,11,F,4
49,US,1974_MA_1041,2011,215.9,CFL,NA,,12,0.212,RR,W_ATL,11,F,4
50,US,1974_MA_1042,2011,233.7,CFL,NA,,10,0.168,RR,W_ATL,11,F,4
51,US,1974_MA_1043,2011,198.4,CFL,NA,,10,0.104,,W_ATL,7,S,3
52,US,1974_MA_1044,2011,147.3,CFL,NA,,5,0.136,RR,W_ATL,7,S,3
53,US,1974_MA_1045,2011,142.2,CFL,NA,,8,0.198,RR,W_ATL,7,S,3
54,US,1974_MA_1046,2011,144.8,CFL,NA,,7,0.206,RR,W_ATL,7,S,3
55,US,1974_MA_1047,2011,189.3,CFL,NA,,9,0.058,,W_ATL,6,S,2
56,US,1974_MA_1048,2011,149.2,CFL,NA,,7,0.876,RR,W_ATL,7,S,3
57,US,1974_MA_1049,2011,144.8,CFL,NA,,6,0.43,RR,W_ATL,7,S,3
58,US,1974_MA_105,1975,60.1,CFL,NA,,1,0.09,,W_ATL,8,S,3
59,US,1974_MA_1050,2011,144.8,CFL,NA,,7,0.462,RR,W_ATL,7,S,3
60,US,1974_MA_1051,2011,147.3,CFL,NA,,7,0.212,RR,W_ATL,7,S,3
61,US,1974_MA_1052,2011,192.5,CFL,NA,,10,0.214,,W_ATL,7,S,3
62,US,1974_MA_1053,2011,171,CFL,NA,,9,0.15,,W_ATL,7,S,3
63,US,1974_MA_1054,2011,206.2,CFL,NA,,8,0.188,,W_ATL,6,S,2
64,US,1974_MA_1055,2011,184,CFL,NA,,9,0.064,,W_ATL,7,S,3
65,US,1974_MA_1056,2011,144.8,CFL,NA,,6,0.176,RR,W_ATL,7,S,3
66,US,1974_MA_1057,2011,134.6,CFL,NA,,6,0.206,RR,W_ATL,7,S,3
67,US,1974_MA_1058,2011,134.6,CFL,NA,,6,0.146,RR,W_ATL,7,S,3
68,US,1974_MA_1059,2011,139.7,CFL,NA,,6,0.2,RR,W_ATL,7,S,3
69,US,1974_MA_106,1975,60.1,CFL,NA,,1,0.016,,W_ATL,8,S,3
70,US,1974_MA_1060,2011,154.6,CFL,NA,,7,0.148,RR,W_ATL,7,S,3
71,US,1974_MA_1061,2011,149.3,CFL,NA,,6,0.288,RR,W_ATL,7,S,3
72,US,1974_MA_1062,2011,119.4,CFL,NA,,6,0.376,RR,W_ATL,7,S,3
73,US,1974_MA_1063,2011,149.9,CFL,NA,,6,0.128,RR,W_ATL,7,S,3
74,US,1974_MA_1064,2011,144.8,CFL,NA,,7,0.282,RR,W_ATL,7,S,3
75,US,1974_MA_1065,2011,151.6,CFL,NA,,6,0.19,RR,W_ATL,7,S,3
76,US,1974_MA_1066,2011,144.8,CFL,NA,,6,0.192,RR,W_ATL,8,S,3
77,US,1974_MA_1067,2011,114.3,CFL,NA,,5,0.004,RR,W_ATL,8,S,3
78,US,1974_MA_1068,2011,147.3,CFL,NA,,8,0.008,RR,W_ATL,8,S,3
79,US,1974_MA_1069,2011,147.3,CFL,NA,,8,0.978,RR,W_ATL,8,S,3
80,US,1974_MA_107,1975,54.8,CFL,NA,,1,0.136,,W_ATL,8,S,3
81,US,1974_MA_1070,2011,137.2,CFL,NA,,7,0.064,RR,W_ATL,8,S,3
82,US,1974_MA_1071,2011,147.3,CFL,NA,,7,0.066,RR,W_ATL,8,S,3
83,US,1974_MA_1072,2011,144.8,CFL,NA,,5,0.104,RR,W_ATL,8,S,3
84,US,1974_MA_1073,2011,111.8,CFL,NA,,3,0.08,RR,W_ATL,8,S,3
85,US,1974_MA_1074,2011,144.8,CFL,NA,,8,0.13,RR,W_ATL,8,S,3
86,US,1974_MA_1075,2011,186.5,CFL,NA,,10,0.098,,W_ATL,6,S,2
87,US,1974_MA_1076,2011,111.8,CFL,NA,,5,0.178,RR,W_ATL,8,S,3
88,US,1974_MA_1077,2011,147.3,CFL,NA,,7,0.092,RR,W_ATL,8,S,3
89,US,1974_MA_1078,2011,121.9,CFL,NA,,6,0.012,RR,W_ATL,8,S,3
90,US,1974_MA_1079,2011,159.9,CFL,NA,,5,0.012,RR,W_ATL,8,S,3
91,US,1974_MA_108,1975,81,CFL,NA,,2,0.068,,W_ATL,8,S,3
92,US,1974_MA_1080,2011,147.3,CFL,NA,,8,0.12,RR,W_ATL,8,S,3
93,US,1974_MA_1081,2011,147.3,CFL,NA,,6,0.186,RR,W_ATL,8,S,3
94,US,1974_MA_1082,2011,152.9,CFL,NA,,6,0.298,RR,W_ATL,8,S,3
95,US,1974_MA_1083,2011,111.8,CFL,NA,,7,0.06,RR,W_ATL,8,S,3
96,US,1974_MA_1084,2011,134.6,CFL,NA,,6,0.268,RR,W_ATL,8,S,3
97,US,1974_MA_1085,2011,134.6,CFL,NA,,8,0.062,RR,W_ATL,8,S,3
98,US,1974_MA_1086,2011,214,CFL,NA,,10,0.31,,W_ATL,6,S,2
99,US,1974_MA_1087,2011,134.6,CFL,NA,,7,0.15,RR,W_ATL,8,S,3
100,US,1974_MA_1088,2011,148.6,CFL,NA,,6,0.042,RR,W_ATL,8,S,3
101,US,1974_MA_1089,2011,109.2,CFL,NA,,5,0.19,RR,W_ATL,8,S,3
102,US,1974_MA_109,1975,55.5,CFL,NA,,2,0.256,,W_ATL,8,S,3
103,US,1974_MA_1090,2011,109.2,CFL,NA,,4,0.078,RR,W_ATL,8,S,3
104,US,1974_MA_1091,2011,114.3,CFL,NA,,7,0.004,RR,W_ATL,8,S,3
105,US,1974_MA_1092,2011,139.7,CFL,NA,,7,0.872,RR,W_ATL,8,S,3
106,US,1974_MA_1093,2011,153.6,CFL,NA,,7,0.098,RR,W_ATL,8,S,3
107,US,1974_MA_1094,2011,271,CFL,NA,,21,0.112,,W_ATL,9,F,3
108,US,1974_MA_1095,2011,188.9,CFL,NA,,10,0.012,,W_ATL,9,F,3
109,US,1974_MA_1096,2011,279.4,CFL,NA,,10,0.02,HPN,W_ATL,9,F,3
110,US,1974_MA_1097,2011,182.2,CFL,NA,,9,0.16,,W_ATL,6,S,2
111,US,1974_MA_1098,2011,176.1,CFL,NA,,8,0.392,,W_ATL,9,F,3
112,US,1974_MA_1099,2011,119.4,CFL,NA,,7,0.06,RR,W_ATL,9,F,3
113,US,1974_MA_11,1975,80,CFL,NA,,2,0.194,PURSE SEINE,W_ATL,7,S,3
114,US,1974_MA_110,1975,70,CFL,NA,,2,0.146,,W_ATL,8,S,3
115,US,1974_MA_1100,2011,147.3,CFL,NA,,7,0.162,RR,W_ATL,9,F,3
116,US,1974_MA_1101,2011,148.6,CFL,NA,,6,0.19,RR,W_ATL,9,F,3
117,US,1974_MA_1102,2011,127,CFL,NA,,5,0.054,RR,W_ATL,9,F,3
118,US,1974_MA_1103,2011,155.2,CFL,NA,,8,0.4,RR,W_ATL,9,F,3
119,US,1974_MA_1104,2011,142.4,CFL,NA,,7,0.07,RR,W_ATL,9,F,3
120,US,1974_MA_1105,2011,146.5,CFL,NA,,7,0.22,RR,W_ATL,9,F,3
121,US,1974_MA_1106,2011,147.8,CFL,NA,,7,0.11,RR,W_ATL,9,F,3
122,US,1974_MA_1107,2011,114.4,CFL,NA,,6,0.314,RR,W_ATL,9,F,3
123,US,1974_MA_1108,2011,191.9,CFL,NA,,9,0.248,,W_ATL,6,S,2
124,US,1974_MA_1109,2011,142.5,CFL,NA,,4,0.166,RR,W_ATL,9,F,3
125,US,1974_MA_111,1975,58.8,CFL,NA,,2,0.072,,W_ATL,7,S,3
126,US,1974_MA_1110,2011,118.5,CFL,NA,,8,0.166,RR,W_ATL,9,F,3
127,US,1974_MA_1111,2011,144.5,CFL,NA,,6,0.298,RR,W_ATL,9,F,3
128,US,1974_MA_1112,2011,147.8,CFL,NA,,6,0.19,RR,W_ATL,9,F,3
129,US,1974_MA_1113,2011,148.5,CFL,NA,,6,0.054,RR,W_ATL,9,F,3
130,US,1974_MA_1114,2011,148.8,CFL,NA,,6,0.232,RR,W_ATL,9,F,3
131,US,1974_MA_1115,2011,216.6,CFL,NA,,11,0.31,,W_ATL,9,F,3
132,US,1974_MA_1116,2011,182.5,CFL,NA,,10,0.058,,W_ATL,9,F,3
133,US,1974_MA_1117,2011,196.3,CFL,NA,,10,0.364,,W_ATL,9,F,3
134,US,1974_MA_1118,2011,188.9,CFL,NA,,8,0.076,,W_ATL,9,F,3
135,US,1974_MA_1119,2011,200.7,CFL,NA,,7,0.142,RR,W_ATL,7,S,3
136,US,1974_MA_112,1975,63.8,CFL,NA,,1,0.244,RR,W_ATL,8,S,3
137,US,1974_MA_1120,2011,168.6,CFL,NA,,7,0.138,,W_ATL,9,F,3
138,US,1974_MA_1121,2011,193.1,CFL,NA,,10,0.046,,W_ATL,9,F,3
139,US,1974_MA_1122,2011,198.5,CFL,NA,,10,0.064,,W_ATL,9,F,3
140,US,1974_MA_1123,2011,190.5,CFL,NA,,9,0.2,RR,W_ATL,9,F,3
141,US,1974_MA_1124,2011,193.1,CFL,NA,,9,0.212,,W_ATL,9,F,3
142,US,1974_MA_1125,2011,200.6,CFL,NA,,9,0.09,,W_ATL,9,F,3
143,US,1974_MA_1126,2011,148.6,CFL,NA,,8,0.012,RR,W_ATL,9,F,3
144,US,1974_MA_1127,2011,118.1,CFL,NA,,6,0.012,RR,W_ATL,9,F,3
145,US,1974_MA_1128,2011,119.2,CFL,NA,,6,0.112,RR,W_ATL,9,F,3
146,US,1974_MA_1129,2011,120.6,CFL,NA,,6,0.058,RR,W_ATL,9,F,3
147,US,1974_MA_113,1975,205.8,CFL,NA,,8,0.822,PURSE SEINE,W_ATL,9,F,3
148,US,1974_MA_1130,2012,231.5,CFL,NA,,11,0.204,LL,GOM,3,Sp,1
149,US,1974_MA_1131,2012,248,CFL,NA,,10,0.22,LL,GOM,4,Sp,2
150,US,1974_MA_1132,2012,236.7,CFL,NA,,11,0.016,LL,GOM,5,Sp,2
151,US,1974_MA_1133,2012,255.2,CFL,NA,,13,0.04,LL,GOM,5,Sp,2
152,US,1974_MA_1134,2012,260.3,CFL,NA,,18,0.038,LL,GOM,5,Sp,2
153,US,1974_MA_1135,2012,252.1,CFL,NA,,17,0.768,LL,GOM,5,Sp,2
154,US,1974_MA_1136,2012,239.8,CFL,NA,,13,0.076,LL,GOM,5,Sp,2
155,US,1974_MA_1137,2012,250,CFL,NA,,17,0.068,LL,GOM,5,Sp,2
156,US,1974_MA_1138,2012,240.8,CFL,NA,,13,0.078,LL,GOM,5,Sp,2
157,US,1974_MA_1139,2012,268.6,CFL,NA,,12,0.98,LL,GOM,5,Sp,2
158,US,1974_MA_114,1975,243,CFL,NA,,21,0.228,RR,W_ATL,8,S,3
159,US,1974_MA_1140,2012,255.2,CFL,NA,,16,0.012,LL,GOM,5,Sp,2
160,US,1974_MA_1141,2012,272.7,CFL,NA,,14,0.09,LL,GOM,3,Sp,1
161,US,1974_MA_1142,2012,250,CFL,NA,,13,0.268,LL,GOM,6,S,2
162,US,1974_MA_1143,2012,244.9,CFL,NA,,12,0.046,LL,GOM,3,Sp,1
163,US,1974_MA_1144,2012,248,CFL,NA,,13,0.858,LL,GOM,4,Sp,2
164,US,1974_MA_1145,2012,279.9,CFL,NA,,34,0.306,LL,GOM,4,Sp,2
165,US,1974_MA_1146,2012,245.9,CFL,NA,,13,0.074,LL,GOM,4,Sp,2
166,US,1974_MA_1147,2012,280.9,CFL,NA,,24,0.058,LL,GOM,4,Sp,2
167,US,1974_MA_1148,2012,275.8,CFL,NA,,14,0.638,LL,GOM,4,Sp,2
168,US,1974_MA_1149,2012,240.8,CFL,NA,,13,0.108,LL,GOM,4,Sp,2
169,US,1974_MA_115,1975,266.6,CFL,NA,,24,0.092,RR,W_ATL,8,S,3
170,US,1974_MA_1150,2012,98.9,CFL,NA,,4,0.512,RR,W_ATL,6,S,2
171,US,1974_MA_1151,2012,102.8,CFL,NA,,5,0.776,RR,W_ATL,6,S,2
172,US,1974_MA_1152,2012,179.4,CFL,NA,,8,0.31,RAR,W_ATL,2,w,1
173,US,1974_MA_1153,2012,162.3,CFL,NA,,7,0.9,RAR,W_ATL,2,w,1
174,US,1974_MA_1154,2012,163.4,CFL,NA,,8,0.844,RAR,W_ATL,2,w,1
175,US,1974_MA_1155,2012,182.6,CFL,NA,,7,0.456,RAR,W_ATL,2,w,1
176,US,1974_MA_1156,2012,163.4,CFL,NA,,6,0.416,RAR,W_ATL,2,w,1
177,US,1974_MA_1157,2012,175.2,CFL,NA,,6,0.336,RAR,W_ATL,2,w,1
178,US,1974_MA_1158,2012,165.5,CFL,NA,,7,0.232,RAR,W_ATL,2,w,1
179,US,1974_MA_1159,2012,163.4,CFL,NA,,7,0.178,RAR,W_ATL,2,w,1
180,US,1974_MA_116,1975,292.8,CFL,NA,,27,0.09,RR,W_ATL,8,S,3
181,US,1974_MA_1160,2012,162.5,CFL,NA,,6,0.368,RAR,W_ATL,2,w,1
182,US,1974_MA_1161,2012,118.2,CFL,NA,,5,0.278,RR,W_ATL,6,S,2
183,US,1974_MA_1162,2012,177.5,CFL,NA,,9,0.916,RAR,W_ATL,2,w,1
184,US,1974_MA_1163,2012,171.9,CFL,NA,,7,0.402,RAR,W_ATL,2,w,1
185,US,1974_MA_1164,2012,153.8,CFL,NA,,5,0.834,RAR,W_ATL,2,w,1
186,US,1974_MA_1165,2012,182.6,CFL,NA,,7,0.926,RAR,W_ATL,2,w,1
187,US,1974_MA_1166,2012,161.3,CFL,NA,,6,0.22,RAR,W_ATL,2,w,1
188,US,1974_MA_1167,2012,167.7,CFL,NA,,7,0.88,RAR,W_ATL,2,w,1
189,US,1974_MA_1168,2012,192.2,CFL,NA,,7,0.068,RAR,W_ATL,3,Sp,1
190,US,1974_MA_1169,2012,202.9,CFL,NA,,9,0.176,RAR,W_ATL,3,Sp,1
191,US,1974_MA_117,1975,277,CFL,NA,,23,0.092,RR,W_ATL,8,S,3
192,US,1974_MA_1170,2012,174.1,CFL,NA,,7,0.226,RAR,W_ATL,3,Sp,1
193,US,1974_MA_1171,2012,153.2,CFL,NA,,6,0.926,RAR,W_ATL,3,Sp,1
194,US,1974_MA_1172,2012,104.9,CFL,NA,,3,0.58,RR,W_ATL,6,S,2
195,US,1974_MA_1173,2012,166.6,CFL,NA,,5,0.808,RAR,W_ATL,3,Sp,1
196,US,1974_MA_1174,2012,169.8,CFL,NA,,5,0.104,RAR,W_ATL,3,Sp,1
197,US,1974_MA_1175,2012,176.2,CFL,NA,,7,0.88,RAR,W_ATL,3,Sp,1
198,US,1974_MA_1176,2012,122.8,CFL,NA,,5,0.066,RAR,W_ATL,3,Sp,1
199,US,1974_MA_1177,2012,176.2,CFL,NA,,6,0.408,RAR,W_ATL,3,Sp,1
200,US,1974_MA_1178,2012,194.4,CFL,NA,,10,0.148,RAR,W_ATL,3,Sp,1
201,US,1974_MA_1179,2012,154.9,CFL,NA,,6,0.188,RAR,W_ATL,3,Sp,1
202,US,1974_MA_118,1975,295.3,CFL,NA,,19,0.106,,W_ATL,8,S,3
203,US,1974_MA_1180,2012,171.9,CFL,NA,,7,0.21,RAR,W_ATL,3,Sp,1
204,US,1974_MA_1181,2012,161.3,CFL,NA,,7,0.062,RAR,W_ATL,3,Sp,1
205,US,1974_MA_1182,2012,155.9,CFL,NA,,6,0.416,RAR,W_ATL,3,Sp,1
206,US,1974_MA_1183,2012,109.1,CFL,NA,,6,0.146,RR,W_ATL,6,S,2
207,US,1974_MA_1184,2012,151.7,CFL,NA,,7,0.792,RAR,W_ATL,3,Sp,1
208,US,1974_MA_1185,2012,158.1,CFL,NA,,7,0.382,RAR,W_ATL,3,Sp,1
209,US,1974_MA_1186,2012,174.1,CFL,NA,,6,0.128,RAR,W_ATL,3,Sp,1
210,US,1974_MA_1187,2012,166.6,CFL,NA,,6,0.932,RAR,W_ATL,3,Sp,1
211,US,1974_MA_1188,2012,169.8,CFL,NA,,6,0.04,RAR,W_ATL,3,Sp,1
212,US,1974_MA_1189,2012,166.6,CFL,NA,,6,0.75,RAR,W_ATL,3,Sp,1
213,US,1974_MA_119,1975,245.7,CFL,NA,,17,0.088,RR,W_ATL,8,S,3
214,US,1974_MA_1190,2012,185.8,CFL,NA,,6,0.75,RAR,W_ATL,3,Sp,1
215,US,1974_MA_1191,2012,163.4,CFL,NA,,6,0.934,RAR,W_ATL,3,Sp,1
216,US,1974_MA_1192,2012,150.6,CFL,NA,,6,0.82,RAR,W_ATL,3,Sp,1
217,US,1974_MA_1193,2012,209.3,CFL,NA,,10,0.168,RAR,W_ATL,1,W,1
218,US,1974_MA_1194,2012,129.3,CFL,NA,,6,0.096,RR,W_ATL,6,S,2
219,US,1974_MA_1195,2012,209.3,CFL,NA,,10,0.086,RAR,W_ATL,3,Sp,1
220,US,1974_MA_1196,2012,208.3,CFL,NA,,10,0.374,RAR,W_ATL,3,Sp,1
221,US,1974_MA_1197,2012,192.2,CFL,NA,,9,0.038,RAR,W_ATL,3,Sp,1
222,US,1974_MA_1198,2012,189,CFL,NA,,9,0.098,RAR,W_ATL,3,Sp,1
223,US,1974_MA_1199,2012,176.2,CFL,NA,,7,0.848,RAR,W_ATL,3,Sp,1
224,US,1974_MA_12,1975,165,CFL,NA,,6,0.096,PURSE SEINE,W_ATL,7,S,3
225,US,1974_MA_120,1975,237.8,CFL,NA,,17,0.02,RR,W_ATL,8,S,3
226,US,1974_MA_1200,2012,179.4,CFL,NA,,9,0.332,RAR,W_ATL,3,Sp,1
227,US,1974_MA_1201,2012,162.3,CFL,NA,,7,0.232,RAR,W_ATL,3,Sp,1
228,US,1974_MA_1202,2012,151.7,CFL,NA,,9,0.272,RAR,W_ATL,3,Sp,1
229,US,1974_MA_1203,2012,176.2,CFL,NA,,8,0.094,RAR,W_ATL,3,Sp,1
230,US,1974_MA_1204,2012,161.3,CFL,NA,,6,0.41,RAR,W_ATL,3,Sp,1
231,US,1974_MA_1205,2012,125.7,CFL,NA,,4,0.168,RR,W_ATL,6,S,2
232,US,1974_MA_1206,2012,167.7,CFL,NA,,6,0.086,RAR,W_ATL,3,Sp,1
233,US,1974_MA_1207,2012,128.2,CFL,NA,,5,0.964,RAR,W_ATL,3,Sp,1
234,US,1974_MA_1208,2012,166.6,CFL,NA,,8,0.818,RAR,W_ATL,3,Sp,1
235,US,1974_MA_1209,2012,162.3,CFL,NA,,7,0.03,RAR,W_ATL,3,Sp,1
236,US,1974_MA_121,1975,243.4,CFL,NA,,18,0.11,RR,W_ATL,8,S,3
237,US,1974_MA_1210,2012,163.4,CFL,NA,,7,0.13,RAR,W_ATL,3,Sp,1
238,US,1974_MA_1211,2012,153.8,CFL,NA,,7,0.784,RAR,W_ATL,3,Sp,1
239,US,1974_MA_1212,2012,152.7,CFL,NA,,8,0.928,RAR,W_ATL,3,Sp,1
240,US,1974_MA_1213,2012,185.8,CFL,NA,,7,0.862,RAR,W_ATL,3,Sp,1
241,US,1974_MA_1214,2012,130.3,CFL,NA,,6,0.088,RAR,W_ATL,3,Sp,1
242,US,1974_MA_1215,2012,194.4,CFL,NA,,10,0.22,RAR,W_ATL,3,Sp,1
243,US,1974_MA_1216,2012,124.6,CFL,NA,,6,0.428,RR,W_ATL,6,S,2
244,US,1974_MA_1217,2012,154.9,CFL,NA,,7,0.482,RAR,W_ATL,3,Sp,1
245,US,1974_MA_1218,2012,200.8,CFL,NA,,11,0.414,RAR,W_ATL,3,Sp,1
246,US,1974_MA_1219,2012,166.6,CFL,NA,,6,0.946,RAR,W_ATL,3,Sp,1
247,US,1974_MA_122,1975,248.3,CFL,NA,,19,0.094,RR,W_ATL,8,S,3
248,US,1974_MA_1220,2012,162.3,CFL,NA,,6,0.188,RAR,W_ATL,3,Sp,1
249,US,1974_MA_1221,2012,171.9,CFL,NA,,7,0.774,RAR,W_ATL,3,Sp,1
250,US,1974_MA_1222,2012,152.7,CFL,NA,,6,0.21,RAR,W_ATL,3,Sp,1
251,US,1974_MA_1223,2012,166.6,CFL,NA,,6,0.226,RAR,W_ATL,3,Sp,1
252,US,1974_MA_1224,2012,166.6,CFL,NA,,8,0.398,RAR,W_ATL,3,Sp,1
253,US,1974_MA_1225,2012,157,CFL,NA,,5,0.2,RAR,W_ATL,3,Sp,1
254,US,1974_MA_1226,2012,157,CFL,NA,,8,0.89,RAR,W_ATL,3,Sp,1
255,US,1974_MA_1227,2012,99.6,CFL,NA,,4,0.394,RR,W_ATL,6,S,2
256,US,1974_MA_1228,2012,162.3,CFL,NA,,7,0.94,RAR,W_ATL,3,Sp,1
257,US,1974_MA_1229,2012,131.4,CFL,NA,,5,0.06,RAR,W_ATL,3,Sp,1
258,US,1974_MA_123,1975,266.6,CFL,NA,,19,0.09,RR,W_ATL,8,S,3
259,US,1974_MA_1230,2012,161.3,CFL,NA,,7,0.2,RAR,W_ATL,3,Sp,1
260,US,1974_MA_1231,2012,165.5,CFL,NA,,7,0.042,RAR,W_ATL,3,Sp,1
261,US,1974_MA_1232,2012,168.7,CFL,NA,,6,0.116,RAR,W_ATL,3,Sp,1
262,US,1974_MA_1233,2012,163.4,CFL,NA,,7,0.444,RAR,W_ATL,3,Sp,1
263,US,1974_MA_1234,2012,171.9,CFL,NA,,7,0.306,RAR,W_ATL,3,Sp,1
264,US,1974_MA_1235,2012,168.7,CFL,NA,,7,0.5,RAR,W_ATL,3,Sp,1
265,US,1974_MA_1236,2012,161.3,CFL,NA,,6,0.59,RAR,W_ATL,3,Sp,1
266,US,1974_MA_1237,2012,175.2,CFL,NA,,8,0.934,RAR,W_ATL,3,Sp,1
267,US,1974_MA_1238,2012,100,CFL,NA,,4,0.19,RR,W_ATL,6,S,2
268,US,1974_MA_1239,2012,202.9,CFL,NA,,8,0.014,RAR,W_ATL,3,Sp,1
269,US,1974_MA_124,1975,260,CFL,NA,,22,0.1,HANDLINE,W_ATL,8,S,3
270,US,1974_MA_1240,2012,168.7,CFL,NA,,6,0.04,RAR,W_ATL,3,Sp,1
271,US,1974_MA_1241,2012,168.7,CFL,NA,,6,0.838,RAR,W_ATL,3,Sp,1
272,US,1974_MA_1242,2012,173,CFL,NA,,7,0.094,RAR,W_ATL,3,Sp,1
273,US,1974_MA_1243,2012,192.2,CFL,NA,,11,0.218,RAR,W_ATL,3,Sp,1
274,US,1974_MA_1244,2012,160.2,CFL,NA,,8,0.22,RAR,W_ATL,3,Sp,1
275,US,1974_MA_1245,2012,168.7,CFL,NA,,8,0.874,RAR,W_ATL,3,Sp,1
276,US,1974_MA_1246,2012,159.1,CFL,NA,,7,0.456,RAR,W_ATL,3,Sp,1
277,US,1974_MA_1247,2012,199.7,CFL,NA,,8,0.268,RAR,W_ATL,3,Sp,1
278,US,1974_MA_1248,2012,154.9,CFL,NA,,7,0.226,RAR,W_ATL,3,Sp,1
279,US,1974_MA_1249,2012,125.2,CFL,NA,,4,0.178,RR,W_ATL,6,S,2
280,US,1974_MA_125,1975,245.7,CFL,NA,,18,0.094,HARPOON,W_ATL,8,S,3
281,US,1974_MA_1250,2012,101,CFL,NA,,4,0.818,RAR,W_ATL,6,S,2
