;ID1;Source;ID;Year;Length;Type_length;Weight;Type_of_weight;age;Prob.East.;GEAR;BFT_Area;Month;quarter;Method
151;151;US+Can;09BFT50-5;2009;222;SFL;192.4373806;EST_L;11;0.004;LL;GOM;5;2;Otolith Chemistry
152;152;US+Can;09BFT50-6;2009;244;SFL;255.4771265;EST_L;13;0.07;LL;GOM;5;2;Otolith Chemistry
153;153;US+Can;09BFT51-2;2009;242;SFL;274.1587565;EST_L;12;0.066;LL;GOM;4;2;Otolith Chemistry
158;158;US+Can;09BFT54-2;2009;269;SFL;342.2865739;EST_L;15;0.042;LL;GOM;5;2;Otolith Chemistry
159;159;US+Can;09BFT55-2;2009;270;SFL;381.4318032;EST_L;14;0;LL;GOM;4;2;Otolith Chemistry
160;160;US+Can;09BFT56-1;2009;249;SFL;271.5002834;EST_L;12;0.03;LL;GOM;5;2;Otolith Chemistry
161;161;US+Can;09BFT57-1;2009;255;SFL;321.029079;EST_L;14;0.07;LL;GOM;4;2;Otolith Chemistry
163;163;US+Can;09BFT59-2;2009;260;SFL;291.9599782;EST_L;10;0.044;LL;GOM;6;2;Otolith Chemistry
164;164;US+Can;09BFT6-2;2009;205;SFL;151.5418347;EST_L;16;0.044;LL;GOM;5;2;Otolith Chemistry
166;166;US+Can;09BFT61-1;2009;241;SFL;232.7183582;EST_L;16;0.09;LL;GOM;6;2;Otolith Chemistry
168;168;US+Can;09BFT64-1;2009;238;SFL;237.0969976;EST_L;12;0.006;LL;GOM;5;2;Otolith Chemistry
169;169;US+Can;09BFT64-2;2009;262;SFL;316.264382;EST_L;19;0.042;LL;GOM;5;2;Otolith Chemistry
170;170;US+Can;09BFT64-3;2009;248.020546;EST_L;268.3102256;EST_L;16;0.286;LL;GOM;5;2;Otolith Chemistry
171;171;US+Can;09BFT64-4;2009;249.941746;EST_L;274.5912711;EST_L;18;0.026;LL;GOM;5;2;Otolith Chemistry
172;172;US+Can;09BFT65-9;2009;256;SFL;295.0380759;EST_L;17;0.044;LL;GOM;5;2;Otolith Chemistry
174;174;US+Can;09BFT66-8;2009;249;SFL;271.5002834;EST_L;12;0.022;LL;GOM;5;2;Otolith Chemistry
175;175;US+Can;09BFT67-5;2009;221;SFL;189.8495738;EST_L;12;0.06;LL;GOM;5;2;Otolith Chemistry
176;176;US+Can;09BFT67-6;2009;238;SFL;237.0969976;EST_L;16;0.018;LL;GOM;5;2;Otolith Chemistry
178;178;US+Can;09BFT69-1;2009;288;SFL;396.3452347;EST_L;19;0;LL;GOM;6;2;Otolith Chemistry
179;179;US+Can;09BFT7-1;2009;285;SFL;407.0411088;EST_L;15;0.29;LL;GOM;5;2;Otolith Chemistry
182;182;US+Can;09BFT72-1;2009;259;SFL;288.6168463;EST_L;14;0.192;LL;GOM;6;2;Otolith Chemistry
189;189;US+Can;09BFT77-3;2009;285;SFL;407.0411088;EST_L;22;0.056;LL;GOM;5;2;Otolith Chemistry
190;190;US+Can;09BFT78-1;2009;242;SFL;249.248653;EST_L;13;0.372;LL;GOM;5;2;Otolith Chemistry
191;191;US+Can;09BFT79-2;2009;254;SFL;272.2827857;EST_L;16;0.022;LL;GOM;6;2;Otolith Chemistry
193;193;US+Can;09BFT80-1;2009;256;SFL;295.0380759;EST_L;13;0.01;LL;GOM;5;2;Otolith Chemistry
194;194;US+Can;09BFT81-1;2009;264;SFL;323.5596299;EST_L;16;0.004;LL;GOM;5;2;Otolith Chemistry
195;195;US+Can;09BFT82-2;2009;239;SFL;240.0970133;EST_L;16;0.158;LL;GOM;5;2;Otolith Chemistry
196;196;US+Can;09BFT83-3;2009;260;SFL;309.0796018;EST_L;19;0.048;LL;GOM;5;2;Otolith Chemistry
197;197;US+Can;09BFT83-4;2009;205;SFL;151.5418347;EST_L;13;0.08;LL;GOM;5;2;Otolith Chemistry
198;198;US+Can;09BFT84-1;2009;275;SFL;345.2417165;EST_L;18;0.002;LL;GOM;6;2;Otolith Chemistry
199;199;US+Can;09BFT84-2;2009;285;SFL;384.1339346;EST_L;19;0.01;LL;GOM;6;2;Otolith Chemistry
200;200;US+Can;09BFT85-1;2009;244.178146;EST_L;256.0368933;EST_L;20;0.074;LL;GOM;5;2;Otolith Chemistry
203;203;US+Can;09BFT87-4;2009;249;SFL;256.5757747;EST_L;14;0.014;LL;GOM;6;2;Otolith Chemistry
204;204;US+Can;09BFT88-1;2009;235;SFL;215.828157;EST_L;11;0.098;LL;GOM;6;2;Otolith Chemistry
205;205;US+Can;09BFT89-3;2009;252;SFL;281.4283137;EST_L;14;0.318;LL;GOM;5;2;Otolith Chemistry
206;206;US+Can;09BFT9-2;2009;235;SFL;228.2470694;EST_L;16;0.38;LL;GOM;5;2;Otolith Chemistry
207;207;US+Can;09BFT9-3;2009;220;SFL;187.2850668;EST_L;13;0.42;LL;GOM;5;2;Otolith Chemistry
208;208;US+Can;09BFT9-4;2009;253;SFL;284.7906449;EST_L;15;0.002;LL;GOM;5;2;Otolith Chemistry
209;209;US+Can;09BFT90-1;2009;NA;NA;NA;NA;11;0.16;LL;GOM;6;2;Otolith Chemistry
210;210;US+Can;09BFT91-2;2009;271;SFL;330.4499608;EST_L;30;0.008;LL;GOM;6;2;Otolith Chemistry
211;211;US+Can;09BFT92-2;2009;278;SFL;356.6200683;EST_L;18;0.266;LL;GOM;6;2;Otolith Chemistry
213;213;US+Can;09BFT94-1;2009;274;SFL;361.7223664;EST_L;19;0.014;LL;GOM;5;2;Otolith Chemistry
214;214;US+Can;09BFT95-1;2009;242;SFL;249.248653;EST_L;20;0.026;LL;GOM;5;2;Otolith Chemistry
215;215;US+Can;09BFT96-2;2009;257;SFL;282.0071952;EST_L;13;0.048;LL;GOM;6;2;Otolith Chemistry
216;216;US+Can;09BFT97-1;2009;225;SFL;200.3416533;EST_L;11;0.048;LL;GOM;5;2;Otolith Chemistry
217;217;US+Can;09BFT98-3;2009;265;SFL;327.2489425;EST_L;9;0.034;LL;GOM;5;2;Otolith Chemistry
234;234;US+Can;1019;1977;272.6506;EST_L;385.55;NA;NA;0.13;UN;GSL;8;3;Otolith Chemistry
239;239;US+Can;1036;1977;280.04722;EST_L;426.38;NA;NA;0.124;UN;GSL;8;3;Otolith Chemistry
252;252;US+Can;10BFT1-1;2010;232;SFL;231.292318;EST_L;12;0.048;LL;GOM;3;1;Otolith Chemistry
253;253;US+Can;10BFT10-2;2010;278;SFL;416.5481812;EST_L;29;0.068;LL;GOM;4;2;Otolith Chemistry
254;254;US+Can;10BFT103-1;2010;217.377406;EST_L;189.5512198;EST_L;10;0.352;RR;W_ATL;10;4;Otolith Chemistry
255;255;US+Can;10BFT104-1;2010;231.978526;EST_L;230.4865039;EST_L;17;0.184;RR;W_ATL;10;4;Otolith Chemistry
256;256;US+Can;10BFT108-1;2010;205.177786;EST_L;159.3235701;EST_L;10;0.458;RR;W_ATL;10;4;Otolith Chemistry
257;257;US+Can;10BFT11-4;2010;249;SFL;298.7820504;EST_L;13;0.048;LL;GOM;4;2;Otolith Chemistry
258;258;US+Can;10BFT12-6;2010;239;SFL;240.0970133;EST_L;12;0.002;LL;GOM;5;2;Otolith Chemistry
259;259;US+Can;10BFT13-4;2010;280;SFL;425.652646;EST_L;22;0.012;LL;GOM;4;2;Otolith Chemistry
260;260;US+Can;10BFT14-5;2010;261;SFL;312.6582361;EST_L;17;0.15;LL;GOM;5;2;Otolith Chemistry
262;262;US+Can;10BFT16-2;2010;238;SFL;237.0969976;EST_L;10;0.006;LL;GOM;5;2;Otolith Chemistry
263;263;US+Can;10BFT17-2;2010;262;SFL;348.3518029;EST_L;20;0.092;LL;GOM;4;2;Otolith Chemistry
264;264;US+Can;10BFT173-1;2010;246.579646;EST_L;276.9358831;EST_L;17;0.016;RR;W_ATL;10;4;Otolith Chemistry
265;265;US+Can;10BFT176-1;2010;131.9;NA;37.6;NA;5;0.038;RR;W_ATL;10;4;Otolith Chemistry
266;266;US+Can;10BFT177-1;2010;NA;NA;NA;NA;5;0.086;RR;W_ATL;7;3;Otolith Chemistry
267;267;US+Can;10BFT179-1;2010;188.079106;EST_L;120.8441848;EST_L;8;0.07;RR;W_ATL;11;4;Otolith Chemistry
268;268;US+Can;10BFT18-3;2010;220;SFL;187.2850668;EST_L;11;0.076;LL;GOM;5;2;Otolith Chemistry
269;269;US+Can;10BFT183-1;2010;273.476446;EST_L;372.1917223;EST_L;20;0.328;RR;W_ATL;11;4;Otolith Chemistry
270;270;US+Can;10BFT188-1;2010;263.678326;EST_L;333.5431151;EST_L;21;0.53;RR;W_ATL;11;4;Otolith Chemistry
271;271;US+Can;10BFT19-1;2010;246;SFL;261.808487;EST_L;12;0.008;LL;GOM;5;2;Otolith Chemistry
272;272;US+Can;10BFT2-2;2010;252;SFL;296.6185609;EST_L;12;0.5;LL;GOM;3;1;Otolith Chemistry
273;273;US+Can;10BFT20-3;2010;257;SFL;328.6836622;EST_L;15;0.218;LL;GOM;4;2;Otolith Chemistry
274;274;US+Can;10BFT201-1;2010;256.377766;EST_L;306.5558044;EST_L;12;0.078;RR;W_ATL;11;4;Otolith Chemistry
275;275;US+Can;10BFT207-1;2010;NA;NA;NA;NA;9;0.118;RR;W_ATL;11;4;Otolith Chemistry
277;277;US+Can;10BFT22-4;2010;230;SFL;213.9912665;EST_L;15;0.038;LL;GOM;5;2;Otolith Chemistry
278;278;US+Can;10BFT220-1;2010;280.777006;EST_L;402.8543371;EST_L;21;0.04;RR;W_ATL;11;4;Otolith Chemistry
279;279;US+Can;10BFT222-1;2010;NA;NA;NA;NA;12;0;RR;W_ATL;11;4;Otolith Chemistry
280;280;US+Can;10BFT223-1;2010;NA;NA;NA;NA;7;0.01;RR;W_ATL;11;4;Otolith Chemistry
281;281;US+Can;10BFT228-1;2010;NA;NA;313;EST_L;12;0.098;RR;W_ATL;11;4;Otolith Chemistry
282;282;US+Can;10BFT229-1;2010;188.079106;EST_L;120.8441848;EST_L;8;0.404;RR;W_ATL;11;4;Otolith Chemistry
284;284;US+Can;10BFT230-1;2010;190.480606;EST_L;125.5404274;EST_L;6;0.022;RR;W_ATL;11;4;Otolith Chemistry
285;285;US+Can;10BFT24-1;2010;238;SFL;260.7172334;EST_L;9;0.068;LL;GOM;4;2;Otolith Chemistry
286;286;US+Can;10BFT245-1;2010;127.081006;EST_L;36.63047228;EST_L;5;0.968;RR;W_ATL;9;3;Otolith Chemistry
287;287;US+Can;10BFT25-1;2010;239;SFL;264.0353303;EST_L;10;0.028;LL;GOM;4;2;Otolith Chemistry
288;288;US+Can;10BFT26-1;2010;244;SFL;269.1840702;EST_L;19;0.04;LL;GOM;3;1;Otolith Chemistry
289;289;US+Can;10BFT27-1;2010;213;SFL;186.5510036;EST_L;10;0.09;LL;GOM;4;2;Otolith Chemistry
293;293;US+Can;10BFT30-1;2010;265;SFL;345.0773661;EST_L;20;0.06;LL;GOM;3;1;Otolith Chemistry
294;294;US+Can;10BFT31-3;2010;234;SFL;247.723552;EST_L;11;0.064;LL;GOM;4;2;Otolith Chemistry
295;295;US+Can;10BFT32-1;2010;242;SFL;274.1587565;EST_L;11;0.324;LL;GOM;4;2;Otolith Chemistry
296;296;US+Can;10BFT33-3;2010;223;SFL;214.237684;EST_L;15;0.006;LL;GOM;4;2;Otolith Chemistry
297;297;US+Can;10BFT34-1;2010;262;SFL;333.4582737;EST_L;18;0.074;LL;GOM;3;1;Otolith Chemistry
298;298;US+Can;10BFT35-2;2010;225;SFL;210.9278201;EST_L;8;0.278;LL;GOM;3;1;Otolith Chemistry
299;299;US+Can;10BFT35-3;2010;233;SFL;234.3044799;EST_L;12;0.066;LL;GOM;3;1;Otolith Chemistry
300;300;US+Can;10BFT36-1;2010;246;SFL;275.8765329;EST_L;13;0.016;LL;GOM;3;1;Otolith Chemistry
302;302;US+Can;10BFT38-2;2010;243;SFL;277.5900089;EST_L;22;0.042;LL;GOM;4;2;Otolith Chemistry
304;304;US+Can;10BFT4-1;2010;250;SFL;289.592875;EST_L;14;0.118;LL;GOM;3;1;Otolith Chemistry
306;306;US+Can;10BFT41-2;2010;230;SFL;235.1700646;EST_L;11;0.01;LL;GOM;4;2;Otolith Chemistry
307;307;US+Can;10BFT42-4;2010;251;SFL;306.0792301;EST_L;11;0.048;LL;GOM;4;2;Otolith Chemistry
308;308;US+Can;10BFT43-1;2010;249;SFL;286.1220801;EST_L;13;0.074;LL;GOM;3;1;Otolith Chemistry
309;309;US+Can;10BFT44-2;2010;248;SFL;295.1774782;EST_L;16;0;LL;GOM;4;2;Otolith Chemistry
312;312;US+Can;10BFT46-2;2010;272;SFL;390.0175922;EST_L;17;0.01;LL;GOM;4;2;Otolith Chemistry
313;313;US+Can;10BFT49-1;2010;117.2;NA;27.49062316;EST_L;5;0.898;RR;W_ATL;7;3;Otolith Chemistry
314;314;US+Can;10BFT5-2;2010;270;SFL;365.0377963;EST_L;19;0.014;LL;GOM;3;1;Otolith Chemistry
315;315;US+Can;10BFT50-1;2010;122.2;NA;30.4;NA;5;0.26;RR;W_ATL;7;3;Otolith Chemistry
316;316;US+Can;10BFT52-3;2010;122.7;NA;33.6;NA;5;0.16;RR;W_ATL;7;3;Otolith Chemistry
317;317;US+Can;10BFT53-1;2010;125.3;NA;34.52463339;EST_L;4;0.01;RR;W_ATL;8;3;Otolith Chemistry
320;320;US+Can;10BFT57-1;2010;212;SFL;167.5951688;EST_L;13;0.064;LL;GOM;5;2;Otolith Chemistry
321;321;US+Can;10BFT58-2;2010;222;SFL;192.4373806;EST_L;19;0.132;LL;GOM;5;2;Otolith Chemistry
322;322;US+Can;10BFT59-3;2010;219;SFL;184.7437544;EST_L;13;0.374;LL;GOM;5;2;Otolith Chemistry
323;323;US+Can;10BFT6-3;2010;262;SFL;333.4582737;EST_L;15;0.006;LL;GOM;3;1;Otolith Chemistry
324;324;US+Can;10BFT7-1;2010;276;SFL;407.5748229;EST_L;22;0.006;LL;GOM;4;2;Otolith Chemistry
325;325;US+Can;10BFT72-1;2010;129.1;NA;42;NA;5;0.086;RR;W_ATL;9;3;Otolith Chemistry
326;326;US+Can;10BFT73-1;2010;109.2;NA;25.4;NA;4;0.298;RR;W_ATL;9;3;Otolith Chemistry
327;327;US+Can;10BFT78-1;2010;122.2;NA;31.15148912;EST_L;5;0.552;RR;W_ATL;7;3;Otolith Chemistry
328;328;US+Can;10BFT8-3;2010;261;SFL;344.3569323;EST_L;14;0.002;LL;GOM;4;2;Otolith Chemistry
329;329;US+Can;10BFT80-1;2010;124.4;NA;32.86003427;EST_L;5;0.874;RR;W_ATL;7;3;Otolith Chemistry
350;350;US+Can;11BFT1-1;2011;100.184206;EST_L;18.14;NA;4;0.066;RR;W_ATL;5;2;Otolith Chemistry
352;352;US+Can;11BFT100-1;2011;81.5;NA;9.269621716;EST_L;2;0.616;RR;W_ATL;7;3;Otolith Chemistry
353;353;US+Can;11BFT102-1;2011;95.1;NA;18.6;NA;4;0.816;RR;W_ATL;6;2;Otolith Chemistry
354;354;US+Can;11BFT103-1;2011;103.4;NA;18.55823083;EST_L;3;0.01;RR;W_ATL;6;2;Otolith Chemistry
355;355;US+Can;11BFT104-1;2011;NA;NA;NA;NA;2;0.202;RR;W_ATL;6;2;Otolith Chemistry
356;356;US+Can;11BFT105-1;2011;78.2;NA;9.5;NA;3;0.28;RR;W_ATL;6;2;Otolith Chemistry
357;357;US+Can;11BFT106-1;2011;95.5;NA;19.1;NA;4;0.202;RR;W_ATL;6;2;Otolith Chemistry
358;358;US+Can;11BFT107-1;2011;86.5;NA;10.9;NA;2;0.114;RR;W_ATL;6;2;Otolith Chemistry
359;359;US+Can;11BFT108-1;2011;82.4;NA;9.416340601;EST_L;3;0.396;RR;W_ATL;6;2;Otolith Chemistry
360;360;US+Can;11BFT11-1;2011;100.3;NA;16.9444967;EST_L;4;0.054;RR;W_ATL;6;2;Otolith Chemistry
361;361;US+Can;11BFT110-1;2011;134.2;NA;39.92;NA;5;0.03;RR;W_ATL;7;3;Otolith Chemistry
362;362;US+Can;11BFT111-1;2011;135.1;NA;39.46;NA;5;0.358;RR;W_ATL;7;3;Otolith Chemistry
363;363;US+Can;11BFT112-1;2011;142.3;NA;49.89;NA;6;0.368;RR;W_ATL;7;3;Otolith Chemistry
364;364;US+Can;11BFT114-1;2011;61.8;NA;4.050037532;EST_L;2;0.176;RR;W_ATL;7;3;Otolith Chemistry
365;365;US+Can;11BFT12-1;2011;99.8;NA;16.693303;EST_L;3;0;RR;W_ATL;6;2;Otolith Chemistry
366;366;US+Can;11BFT13-1;2011;97.4;NA;15.52201901;EST_L;4;0.092;RR;W_ATL;6;2;Otolith Chemistry
367;367;US+Can;11BFT14-1;2011;85.4;NA;10.43;NA;2;0.112;RR;W_ATL;6;2;Otolith Chemistry
368;368;US+Can;11BFT15-1;2011;103.1;NA;18.39777731;EST_L;3;0;RR;W_ATL;6;2;Otolith Chemistry
369;369;US+Can;11BFT153-1;2011;101.2;NA;17.71834164;EST_L;5;0.202;RR;W_ATL;7;3;Otolith Chemistry
370;370;US+Can;11BFT154-1;2011;146.3;NA;52.7;NA;6;0.218;RR;W_ATL;7;3;Otolith Chemistry
371;371;US+Can;11BFT156-1;2011;NA;NA;NA;NA;3;0.084;RR;W_ATL;7;3;Otolith Chemistry
372;372;US+Can;11BFT157-1;2011;136.3;NA;42.3;NA;5;0.322;RR;W_ATL;7;3;Otolith Chemistry
373;373;US+Can;11BFT158-1;2011;142;NA;41.73;NA;5;0.054;RR;W_ATL;7;3;Otolith Chemistry
374;374;US+Can;11BFT159-1;2011;141.4;NA;43.99;NA;5;0.372;RR;W_ATL;7;3;Otolith Chemistry
375;375;US+Can;11BFT16-1;2011;80;NA;8.620193967;EST_L;2;0.044;RR;W_ATL;6;2;Otolith Chemistry
376;376;US+Can;11BFT160-1;2011;148.2;NA;56.24;NA;5;0.054;RR;W_ATL;7;3;Otolith Chemistry
377;377;US+Can;11BFT161-1;2011;89.1;NA;37.19;NA;9;0.308;RR;W_ATL;7;3;Otolith Chemistry
378;378;US+Can;11BFT162-1;2011;149.2;NA;56.02;NA;6;0.008;RR;W_ATL;7;3;Otolith Chemistry
379;379;US+Can;11BFT163-1;2011;111.9;NA;23.59;NA;3;0;RR;W_ATL;7;3;Otolith Chemistry
380;380;US+Can;11BFT164-1;2011;144.1;NA;51.01739776;EST_L;5;0.324;RR;W_ATL;7;3;Otolith Chemistry
381;381;US+Can;11BFT165-1;2011;101.3;NA;17.77078619;EST_L;3;0.462;RR;W_ATL;7;3;Otolith Chemistry
382;382;US+Can;11BFT166-1;2011;147.7;NA;40.36;NA;6;0.14;RR;W_ATL;7;3;Otolith Chemistry
383;383;US+Can;11BFT167-1;2011;126.9;NA;34.47;NA;5;0.368;RR;W_ATL;7;3;Otolith Chemistry
384;384;US+Can;11BFT168-1;2011;232;SFL;219.6201078;EST_L;13;0.334;LL;GOM;5;2;Otolith Chemistry
385;385;US+Can;11BFT169-1;2011;258;SFL;302.0044472;EST_L;21;0.038;LL;GOM;5;2;Otolith Chemistry
386;386;US+Can;11BFT169-2;2011;248;SFL;268.2435767;EST_L;17;0.272;LL;GOM;5;2;Otolith Chemistry
387;387;US+Can;11BFT17-1;2011;107.580826;EST_L;18.14;NA;6;0.216;RR;W_ATL;6;2;Otolith Chemistry
388;388;US+Can;11BFT170-1;2011;270;SFL;381.4318032;EST_L;18;0.058;LL;GOM;4;2;Otolith Chemistry
389;389;US+Can;11BFT171-1;2011;147.3;NA;54.48322525;EST_L;5;0.064;RR;W_ATL;7;3;Otolith Chemistry
392;392;US+Can;11BFT174-1;2011;232;SFL;241.3922619;EST_L;12;0.02;LL;GOM;4;2;Otolith Chemistry
393;393;US+Can;11BFT175-1;2011;236;SFL;254.1648905;EST_L;12;0.02;LL;GOM;4;2;Otolith Chemistry
394;394;US+Can;11BFT176-1;2011;111.8;NA;20.41;NA;4;0.078;RR;W_ATL;7;3;Otolith Chemistry
395;395;US+Can;11BFT177-1;2011;109.5;NA;20.41;NA;3;0.584;RR;W_ATL;7;3;Otolith Chemistry
396;396;US+Can;11BFT178-1;2011;128.9;NA;36.54680972;EST_L;5;0.37;RR;W_ATL;7;3;Otolith Chemistry
397;397;US+Can;11BFT179-1;2011;87.3;NA;11.38694451;EST_L;2;0.446;RR;W_ATL;7;3;Otolith Chemistry
398;398;US+Can;11BFT18-1;2011;107.580826;EST_L;21.77;NA;4;0.058;RR;W_ATL;6;2;Otolith Chemistry
399;399;US+Can;11BFT180-1;2011;101.3;NA;17.77078619;EST_L;4;0.086;RR;W_ATL;7;3;Otolith Chemistry
400;400;US+Can;11BFT181-1;2011;110.2;NA;23.13;NA;5;0.198;RR;W_ATL;7;3;Otolith Chemistry
401;401;US+Can;11BFT182-1;2011;106.2;NA;20.46903892;EST_L;3;0;RR;W_ATL;7;3;Otolith Chemistry
402;402;US+Can;11BFT183-1;2011;92.1;NA;10.88;NA;4;0.134;RR;W_ATL;7;3;Otolith Chemistry
403;403;US+Can;11BFT184-1;2011;148.1;NA;44.45;NA;5;0.078;RR;W_ATL;7;3;Otolith Chemistry
404;404;US+Can;11BFT185-1;2011;147.3;NA;45.36;NA;6;0.404;RR;W_ATL;7;3;Otolith Chemistry
405;405;US+Can;11BFT186-1;2011;139.280626;EST_L;46.07970389;EST_L;6;0.278;RR;W_ATL;7;3;Otolith Chemistry
406;406;US+Can;11BFT189-1;2011;141.682126;EST_L;49.90304077;EST_L;7;0.002;RR;W_ATL;8;3;Otolith Chemistry
407;407;US+Can;11BFT19-1;2011;100.1;NA;27.22;NA;4;0.094;RR;W_ATL;6;2;Otolith Chemistry
408;408;US+Can;11BFT190-1;2011;129.482506;EST_L;37.04326602;EST_L;5;0.042;RR;W_ATL;7;3;Otolith Chemistry
409;409;US+Can;11BFT192-1;2011;139.280626;EST_L;47.40968058;EST_L;5;0.202;RR;W_ATL;8;3;Otolith Chemistry
410;410;US+Can;11BFT193-1;2011;139.280626;EST_L;46.07970389;EST_L;6;0.346;RR;W_ATL;7;3;Otolith Chemistry
411;411;US+Can;11BFT194-1;2011;141.682126;EST_L;49.90304077;EST_L;7;1;RR;W_ATL;8;3;Otolith Chemistry
412;412;US+Can;11BFT195-1;2011;134.381566;EST_L;41.39745908;EST_L;5;0.278;RR;W_ATL;7;3;Otolith Chemistry
413;413;US+Can;11BFT196-1;2011;114.881386;EST_L;25.89500878;EST_L;5;0.29;RR;W_ATL;7;3;Otolith Chemistry
414;414;US+Can;11BFT197-1;2011;139.280626;EST_L;46.07970389;EST_L;6;0.316;RR;W_ATL;7;3;Otolith Chemistry
415;415;US+Can;11BFT198-1;2011;109.982326;EST_L;23.3530906;EST_L;4;0;RR;W_ATL;8;3;Otolith Chemistry
416;416;US+Can;11BFT199-1;2011;136.783066;EST_L;43.65094973;EST_L;4;0.07;RR;W_ATL;7;3;Otolith Chemistry
417;417;US+Can;11BFT2-1;2011;102.585706;EST_L;19.00566086;EST_L;4;0.052;RR;W_ATL;5;2;Otolith Chemistry
418;418;US+Can;11BFT20-1;2011;103.4;NA;18.55823083;EST_L;4;0.072;RR;W_ATL;6;2;Otolith Chemistry
419;419;US+Can;11BFT201-1;2011;143.507266;EST_L;50.39198954;EST_L;6;0.862;RR;W_ATL;7;3;Otolith Chemistry
420;420;US+Can;11BFT205-1;2011;139.280626;EST_L;46.07970389;EST_L;5;0.636;RR;W_ATL;7;3;Otolith Chemistry
421;421;US+Can;11BFT206-1;2011;144.179686;EST_L;51.10186843;EST_L;5;0.068;RR;W_ATL;7;3;Otolith Chemistry
422;422;US+Can;11BFT21-1;2011;125.832226;EST_L;33.57;NA;5;0.202;RR;W_ATL;6;2;Otolith Chemistry
423;423;US+Can;11BFT22-1;2011;75.784966;EST_L;6.8;NA;3;0.404;RR;W_ATL;6;2;Otolith Chemistry
424;424;US+Can;11BFT220-1;2011;192.978166;EST_L;122.2633266;EST_L;6;0.086;RR;W_ATL;7;3;Otolith Chemistry
